New_Sample_ID,Collected?,Random_#,Substrate,Treatment,Time_Point,Transect,Transect_Loc,Ecosystem,Location,Abundance?,Mass_Loss?,Composition?
GCT1A1,,,Grass Litter,Closed,1,A,A1,Shrubland,1,N,Y,Y
GCT1A2,,,Grass Litter,Closed,1,A,A2,Shrubland,2,N,Y,Y
GCT1A3,,,Grass Litter,Closed,1,A,A3,Shrubland,3,N,Y,Y
GCT1A4,,,Grass Litter,Closed,1,A,A4,Shrubland,4,N,Y,Y
GCT1A5,,,Grass Litter,Closed,1,A,A5,Grassland,5,N,Y,Y
GCT1A6,,,Grass Litter,Closed,1,A,A6,Grassland,6,N,Y,Y
GCT1A7,,,Grass Litter,Closed,1,A,A7,Grassland,7,N,Y,Y
GCT1A8,,,Grass Litter,Closed,1,A,A8,Grassland,8,N,Y,Y
GCT1B1,,,Grass Litter,Closed,1,B,B1,Shrubland,1,N,Y,Y
GCT1B2,,,Grass Litter,Closed,1,B,B2,Shrubland,2,N,Y,Y
GCT1B4,,,Grass Litter,Closed,1,B,B4,Shrubland,4,N,Y,Y
GCT1B5,,,Grass Litter,Closed,1,B,B5,Grassland,5,N,Y,Y
GCT1B6,,,Grass Litter,Closed,1,B,B6,Grassland,6,N,Y,Y
GCT1B7,,,Grass Litter,Closed,1,B,B7,Grassland,7,N,Y,Y
GCT1B8,,,Grass Litter,Closed,1,B,B8,Grassland,8,N,Y,Y
GCT1C1,,,Grass Litter,Closed,1,C,C1,Shrubland,1,N,Y,Y
GCT1C2,,,Grass Litter,Closed,1,C,C2,Shrubland,2,N,Y,Y
GCT1C3,,,Grass Litter,Closed,1,C,C3,Shrubland,3,N,Y,Y
GCT1C4,,,Grass Litter,Closed,1,C,C4,Shrubland,4,N,Y,Y
GCT1C5,,,Grass Litter,Closed,1,C,C5,Grassland,5,N,Y,Y
GCT1C6,,,Grass Litter,Closed,1,C,C6,Grassland,6,N,Y,Y
GCT1C7,,,Grass Litter,Closed,1,C,C7,Grassland,7,N,Y,Y
GCT1C8,,,Grass Litter,Closed,1,C,C8,Grassland,8,N,Y,Y
GOT1A1,,,Grass Litter,Open,1,A,A1,Shrubland,1,N,Y,Y
GOT1A2,,,Grass Litter,Open,1,A,A2,Shrubland,2,N,Y,Y
GOT1A3,,,Grass Litter,Open,1,A,A3,Shrubland,3,N,Y,Y
GOT1A4,,,Grass Litter,Open,1,A,A4,Shrubland,4,N,Y,Y
GOT1A5,,,Grass Litter,Open,1,A,A5,Grassland,5,N,Y,Y
GOT1A6,,,Grass Litter,Open,1,A,A6,Grassland,6,N,Y,Y
GOT1A7,,,Grass Litter,Open,1,A,A7,Grassland,7,N,Y,Y
GOT1A8,,,Grass Litter,Open,1,A,A8,Grassland,8,N,Y,Y
GOT1B1,,,Grass Litter,Open,1,B,B1,Shrubland,1,N,Y,Y
GOT1B2,,,Grass Litter,Open,1,B,B2,Shrubland,2,N,Y,Y
GOT1B3,,,Grass Litter,Open,1,B,B3,Shrubland,3,N,Y,Y
GOT1B4,,,Grass Litter,Open,1,B,B4,Shrubland,4,N,Y,Y
GOT1B5,,,Grass Litter,Open,1,B,B5,Grassland,5,N,Y,Y
GOT1B6,,,Grass Litter,Open,1,B,B6,Grassland,6,N,Y,Y
GOT1B7,,,Grass Litter,Open,1,B,B7,Grassland,7,N,Y,Y
GOT1B8,,,Grass Litter,Open,1,B,B8,Grassland,8,N,Y,Y
GOT1C1,,,Grass Litter,Open,1,C,C1,Shrubland,1,N,Y,Y
GOT1C2,,,Grass Litter,Open,1,C,C2,Shrubland,2,N,Y,Y
GOT1C3,,,Grass Litter,Open,1,C,C3,Shrubland,3,N,Y,Y
GOT1C4,,,Grass Litter,Open,1,C,C4,Shrubland,4,N,Y,Y
GOT1C5,,,Grass Litter,Open,1,C,C5,Grassland,5,N,Y,Y
GOT1C6,,,Grass Litter,Open,1,C,C6,Grassland,6,N,Y,Y
GOT1C7,,,Grass Litter,Open,1,C,C7,Grassland,7,N,Y,Y
GOT1C8,,,Grass Litter,Open,1,C,C8,Grassland,8,N,Y,Y
LCT1R1,,5,Glass Slide,Closed,1,C,CB,Boundary,B,Y,N,Y
LCT1R2,,7,Glass Slide,Closed,1,B,BB,Boundary,B,Y,N,Y
LCT1R3,,16,Glass Slide,Closed,1,C,CB,Boundary,B,Y,N,Y
LCT1R4,,2,Glass Slide,Closed,1,A,AB,Boundary,B,Y,N,Y
LDT1R1AS,,33,Glass Slide,Death,1,A,A2,Shrubland,2,Y,N,Y
LDT1R2BS,,35,Glass Slide,Death,1,B,B2,Shrubland,2,Y,N,Y
LDT1R3CS,,4,Glass Slide,Death,1,C,C2,Shrubland,2,Y,N,Y
LDT1R4AG,,23,Glass Slide,Death,1,A,A7,Grassland,7,Y,N,Y
LDT1R5BG,,10,Glass Slide,Death,1,B,B7,Grassland,7,Y,N,Y
LDT1R6CG,,11,Glass Slide,Death,1,C,C7,Grassland,7,Y,N,Y
LDT1R7AS,,13,Glass Slide,Death,1,A,A3,Shrubland,3,Y,N,Y
LDT1R8BG,,28,Glass Slide,Death,1,B,B7,Grassland,7,Y,N,Y
LOT1A1,,6,Glass Slide,Open,1,A,A1,Shrubland,1,Y,N,Y
LOT1A2,,31,Glass Slide,Open,1,A,A2,Shrubland,2,Y,N,Y
LOT1A3,,26,Glass Slide,Open,1,A,A3,Shrubland,3,Y,N,Y
LOT1A4,,25,Glass Slide,Open,1,A,A4,Shrubland,4,Y,N,Y
LOT1A5,,29,Glass Slide,Open,1,A,A5,Grassland,5,Y,N,Y
LOT1A6,,24,Glass Slide,Open,1,A,A6,Grassland,6,Y,N,Y
LOT1A7,,3,Glass Slide,Open,1,A,A7,Grassland,7,Y,N,Y
LOT1A8,,1,Glass Slide,Open,1,A,A8,Grassland,8,Y,N,Y
LOT1B1,,19,Glass Slide,Open,1,B,B1,Shrubland,1,Y,N,Y
LOT1B2,,20,Glass Slide,Open,1,B,B2,Shrubland,2,Y,N,Y
LOT1B3,,34,Glass Slide,Open,1,B,B3,Shrubland,3,Y,N,Y
LOT1B4,,36,Glass Slide,Open,1,B,B4,Shrubland,4,Y,N,Y
LOT1B5,,15,Glass Slide,Open,1,B,B5,Grassland,5,Y,N,Y
LOT1B6,,27,Glass Slide,Open,1,B,B6,Grassland,6,Y,N,Y
LOT1B7,,9,Glass Slide,Open,1,B,B7,Grassland,7,Y,N,Y
LOT1B8,,30,Glass Slide,Open,1,B,B8,Grassland,8,Y,N,Y
LOT1C1,,8,Glass Slide,Open,1,C,C1,Shrubland,1,Y,N,Y
LOT1C2,,17,Glass Slide,Open,1,C,C2,Shrubland,2,Y,N,Y
LOT1C3,,22,Glass Slide,Open,1,C,C3,Shrubland,3,Y,N,Y
LOT1C4,,18,Glass Slide,Open,1,C,C4,Shrubland,4,Y,N,Y
LOT1C5,,12,Glass Slide,Open,1,C,C5,Grassland,5,Y,N,Y
LOT1C6,,32,Glass Slide,Open,1,C,C6,Grassland,6,Y,N,Y
LOT1C7,,21,Glass Slide,Open,1,C,C7,Grassland,7,Y,N,Y
LOT1C8,,14,Glass Slide,Open,1,C,C8,Grassland,8,Y,N,Y
SCT1A1,,,Shrub Litter,Closed,1,A,A1,Shrubland,1,N,Y,Y
SCT1A2,,,Shrub Litter,Closed,1,A,A2,Shrubland,2,N,Y,Y
SCT1A3,,,Shrub Litter,Closed,1,A,A3,Shrubland,3,N,Y,Y
SCT1A4,,,Shrub Litter,Closed,1,A,A4,Shrubland,4,N,Y,Y
SCT1A5,,,Shrub Litter,Closed,1,A,A5,Grassland,5,N,Y,Y
SCT1A6,,,Shrub Litter,Closed,1,A,A6,Grassland,6,N,Y,Y
SCT1A7,,,Shrub Litter,Closed,1,A,A7,Grassland,7,N,Y,Y
SCT1A8,,,Shrub Litter,Closed,1,A,A8,Grassland,8,N,Y,Y
SCT1B1,,,Shrub Litter,Closed,1,B,B1,Shrubland,1,N,Y,Y
SCT1B2,,,Shrub Litter,Closed,1,B,B2,Shrubland,2,N,Y,Y
SCT1B3,,,Shrub Litter,Closed,1,B,B3,Shrubland,3,N,Y,Y
SCT1B4,,,Shrub Litter,Closed,1,B,B4,Shrubland,4,N,Y,Y
SCT1B5,,,Shrub Litter,Closed,1,B,B5,Grassland,5,N,Y,Y
SCT1B6,,,Shrub Litter,Closed,1,B,B6,Grassland,6,N,Y,Y
SCT1B7,,,Shrub Litter,Closed,1,B,B7,Grassland,7,N,Y,Y
SCT1B8,,,Shrub Litter,Closed,1,B,B8,Grassland,8,N,Y,Y
SCT1C1,,,Shrub Litter,Closed,1,C,C1,Shrubland,1,N,Y,Y
SCT1C2,,,Shrub Litter,Closed,1,C,C2,Shrubland,2,N,Y,Y
SCT1C3,,,Shrub Litter,Closed,1,C,C3,Shrubland,3,N,Y,Y
SCT1C4,,,Shrub Litter,Closed,1,C,C4,Shrubland,4,N,Y,Y
SCT1C5,,,Shrub Litter,Closed,1,C,C5,Grassland,5,N,Y,Y
SCT1C6,,,Shrub Litter,Closed,1,C,C6,Grassland,6,N,Y,Y
SCT1C7,,,Shrub Litter,Closed,1,C,C7,Grassland,7,N,Y,Y
SCT1C8,,,Shrub Litter,Closed,1,C,C8,Grassland,8,N,Y,Y
