New_Sample_ID,Transect_Loc,Random_#,Substrate,Treatment,Time_Point,Transect,Transect_Loc,Ecosystem,Location,Abundance?,Mass_Loss?,Composition?,
EnvG_T2R1,A8,,Environmental Grass Litter,,2,A,A8,Grassland,8,N,N,Y,25
EnvG_T2R2,A7,,Environmental Grass Litter,,2,A,A7,Grassland,7,N,N,Y,26
EnvG_T2R3,B8,,Environmental Grass Litter,,2,B,B8,Grassland,8,N,N,Y,27
EnvG_T2R4,B7,,Environmental Grass Litter,,2,B,B7,Grassland,7,N,N,Y,28
EnvG_T2R5,C8,,Environmental Grass Litter,,2,C,C8,Grassland,8,N,N,Y,29
EnvG_T2R6,C7,,Environmental Grass Litter,,2,C,C7,Grassland,7,N,N,Y,30
EnvS_T2R1,A1,,Environmental Shrub Litter,,2,A,A1,Shrubland,1,N,N,Y,19
EnvS_T2R2,A2,,Environmental Shrub Litter,,2,A,A2,Shrubland,2,N,N,Y,20
EnvS_T2R3,B1,,Environmental Shrub Litter,,2,B,B1,Shrubland,1,N,N,Y,21
EnvS_T2R4,B2,,Environmental Shrub Litter,,2,B,B2,Shrubland,2,N,N,Y,22
EnvS_T2R5,C1,,Environmental Shrub Litter,,2,C,C1,Shrubland,1,N,N,Y,23
EnvS_T2R6,C2,,Environmental Shrub Litter,,2,C,C2,Shrubland,2,N,N,Y,24
AirT2R4,TowerTower,,FTA Card,Air,2,Tower,TowerTower,Tower,Tower,N,N,Y,310
AirT2R5,TowerTower,,FTA Card,Air,2,Tower,TowerTower,Tower,Tower,N,N,Y,311
AirT2R6,TowerTower,,FTA Card,Air,2,Tower,TowerTower,Tower,Tower,N,N,Y,312
AirT2R1,TowerTower,,Glass Slide,Air,2,Tower,TowerTower,Tower,Tower,N,N,Y,307
AirT2R2,TowerTower,,Glass Slide,Air,2,Tower,TowerTower,Tower,Tower,N,N,Y,308
AirT2R3,TowerTower,,Glass Slide,Air,2,Tower,TowerTower,Tower,Tower,N,N,Y,309
LCT2R1,AB,40,Glass Slide,Closed,2,A,AB,Boundary,B,Y,N,Y,289
LCT2R2,BB,56,Glass Slide,Closed,2,B,BB,Boundary,B,Y,N,Y,290
LCT2R3,BB,53,Glass Slide,Closed,2,B,BB,Boundary,B,Y,N,Y,291
LCT2R4,CB,39,Glass Slide,Closed,2,C,CB,Boundary,B,Y,N,Y,292
LCT2R5,AB,38,Glass Slide,Closed,2,A,AB,Boundary,B,Y,N,Y,293
LDT2R10CG,C7,62,Glass Slide,Death,2,C,C7,Grassland,7,Y,N,Y,304
LDT2R1AS,A2,72,Glass Slide,Death,2,A,A2,Shrubland,2,Y,N,Y,295
LDT2R2BS,B2,54,Glass Slide,Death,2,B,B2,Shrubland,2,Y,N,Y,296
LDT2R3CS,C2,44,Glass Slide,Death,2,C,C2,Shrubland,2,Y,N,Y,297
LDT2R4AG,A7,45,Glass Slide,Death,2,A,A7,Grassland,7,Y,N,Y,298
LDT2R5BG,B7,46,Glass Slide,Death,2,B,B7,Grassland,7,Y,N,Y,299
LDT2R6CG,C7,42,Glass Slide,Death,2,C,C7,Grassland,7,Y,N,Y,300
LDT2R7CS,C2,43,Glass Slide,Death,2,C,C2,Shrubland,2,Y,N,Y,301
LDT2R8AS,A2,64,Glass Slide,Death,2,A,A2,Shrubland,2,Y,N,Y,302
LDT2R9BG,B7,74,Glass Slide,Death,2,B,B7,Grassland,7,Y,N,Y,303
LOT2A1,A1,73,Glass Slide,Open,2,A,A1,Shrubland,1,Y,N,Y,265
