New_Sample_ID,Transect_Loc,Random_#,Substrate,Treatment,Time_Point,Transect,Transect_Loc,Ecosystem,Location,Abundance?,Mass_Loss?,Composition?
AirT4R1,TowerTower,,Glass Slide,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R10,TowerTower,,Glass Slide,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R11,TowerTower,,Glass Slide,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R12,TowerTower,,Glass Slide,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R2,TowerTower,,Glass Slide,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R3,TowerTower,,Glass Slide,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R4,TowerTower,,FTA Card,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R5,TowerTower,,FTA Card,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R6,TowerTower,,FTA Card,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R7,TowerTower,,FTA Card,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R8,TowerTower,,FTA Card,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
AirT4R9,TowerTower,,FTA Card,Air,4,Tower,TowerTower,Tower,Tower,N,N,Y
GCT4A1,A1,,Grass Litter,Closed,4,A,A1,Shrubland,1,N,Y,Y
GCT4A2,A2,,Grass Litter,Closed,4,A,A2,Shrubland,2,N,Y,Y
GCT4A3,A3,,Grass Litter,Closed,4,A,A3,Shrubland,3,N,Y,Y
GCT4A4,A4,,Grass Litter,Closed,4,A,A4,Shrubland,4,N,Y,Y
GCT4A5,A5,,Grass Litter,Closed,4,A,A5,Grassland,5,N,Y,Y
GCT4A6,A6,,Grass Litter,Closed,4,A,A6,Grassland,6,N,Y,Y
GCT4A7,A7,,Grass Litter,Closed,4,A,A7,Grassland,7,N,Y,Y
GCT4A8,A8,,Grass Litter,Closed,4,A,A8,Grassland,8,N,Y,Y
GCT4B1,B1,,Grass Litter,Closed,4,B,B1,Shrubland,1,N,Y,Y
GCT4B2,B2,,Grass Litter,Closed,4,B,B2,Shrubland,2,N,Y,Y
GCT4B3,B3,,Grass Litter,Closed,4,B,B3,Shrubland,3,N,Y,Y
GCT4B4,B4,,Grass Litter,Closed,4,B,B4,Shrubland,4,N,Y,Y
GCT4B5,B5,,Grass Litter,Closed,4,B,B5,Grassland,5,N,Y,Y
GCT4B6,B6,,Grass Litter,Closed,4,B,B6,Grassland,6,N,Y,Y
GCT4B7,B7,,Grass Litter,Closed,4,B,B7,Grassland,7,N,Y,Y
GCT4B8,B8,,Grass Litter,Closed,4,B,B8,Grassland,8,N,Y,Y
GCT4C1,C1,,Grass Litter,Closed,4,C,C1,Shrubland,1,N,Y,Y
GCT4C2,C2,,Grass Litter,Closed,4,C,C2,Shrubland,2,N,Y,Y
GCT4C3,C3,,Grass Litter,Closed,4,C,C3,Shrubland,3,N,Y,Y
GCT4C4,C4,,Grass Litter,Closed,4,C,C4,Shrubland,4,N,Y,Y
GCT4C5,C5,,Grass Litter,Closed,4,C,C5,Grassland,5,N,Y,Y
GCT4C6,C6,,Grass Litter,Closed,4,C,C6,Grassland,6,N,Y,Y
GCT4C7,C7,,Grass Litter,Closed,4,C,C7,Grassland,7,N,Y,Y
GOT4A1,A1,,Grass Litter,Open,4,A,A1,Shrubland,1,N,Y,Y
GOT4A2,A2,,Grass Litter,Open,4,A,A2,Shrubland,2,N,Y,Y
GOT4A3,A3,,Grass Litter,Open,4,A,A3,Shrubland,3,N,Y,Y
GOT4A4,A4,,Grass Litter,Open,4,A,A4,Shrubland,4,N,Y,Y
GOT4A5,A5,,Grass Litter,Open,4,A,A5,Grassland,5,N,Y,Y
GOT4A6,A6,,Grass Litter,Open,4,A,A6,Grassland,6,N,Y,Y
GOT4A7,A7,,Grass Litter,Open,4,A,A7,Grassland,7,N,Y,Y
GOT4A8,A8,,Grass Litter,Open,4,A,A8,Grassland,8,N,Y,Y
GOT4B1,B1,,Grass Litter,Open,4,B,B1,Shrubland,1,N,Y,Y
GOT4B2,B2,,Grass Litter,Open,4,B,B2,Shrubland,2,N,Y,Y
GOT4B3,B3,,Grass Litter,Open,4,B,B3,Shrubland,3,N,Y,Y
GOT4B4,B4,,Grass Litter,Open,4,B,B4,Shrubland,4,N,Y,Y
GOT4B5,B5,,Grass Litter,Open,4,B,B5,Grassland,5,N,Y,Y
GOT4B6,B6,,Grass Litter,Open,4,B,B6,Grassland,6,N,Y,Y
GOT4B7,B7,,Grass Litter,Open,4,B,B7,Grassland,7,N,Y,Y
