SampleID,Empty Envelope (g)
GCT1A1,1.9451
GCT1A2,1.9288
GCT1A3,1.9133
GCT1A4,1.9388
GCT1A5,1.9214
GCT1A6,1.9297
GCT1A7,1.9171
GCT1A8,1.9246
GCT1B1,1.8955
GCT1B2,1.9336
GCT1B4,1.9399
GCT1B5,1.9176
GCT1B6,1.8947
GCT1B7,1.906
GCT1B8,1.9008
GCT1C1,1.8614
GCT1C2,1.839
GCT1C3,1.8735
GCT1C4,1.887
GCT1C5,1.8389
GCT1C6,1.8283
GCT1C7,1.8311
GCT1C8,1.812
GOT1A1,1.8368
GOT1A2,1.8354
GOT1A3,1.8159
GOT1A4,1.8466
GOT1A5,1.8563
GOT1A6,1.881
GOT1A7,1.8488
GOT1A8,1.8787
GOT1B1,1.8869
GOT1B2,1.8874
GOT1B3,1.8389
GOT1B4,1.8734
GOT1B5,1.8639
GOT1B6,1.8587
GOT1B7,1.8405
GOT1B8,1.8774
GOT1C1,1.8511
GOT1C2,1.8758
GOT1C3,1.8759
GOT1C4,1.8495
GOT1C5,1.88
GOT1C6,1.893
GOT1C7,1.8764
GOT1C8,1.8652
SCT1A1,1.861
SCT1A2,1.8582
SCT1A3,1.8695
SCT1A4,1.8639
SCT1A5,1.8383
SCT1A6,1.8635
SCT1A7,1.8421
SCT1A8,1.8367
SCT1B1,1.8486
SCT1B2,1.866
SCT1B3,1.856
SCT1B4,1.8677
SCT1B5,1.8695
SCT1B6,1.8612
SCT1B7,1.8729
SCT1B8,1.8778
SCT1C1,1.8462
SCT1C2,1.8423
SCT1C3,1.862
SCT1C4,1.8718
SCT1C5,1.8711
SCT1C6,1.8519
SCT1C7,1.8768
SCT1C8,1.8728
SOT1A1,1.8745
SOT1A2,1.8795
SOT1A3,1.8647
SOT1A4,1.8837
SOT1A5,1.8502
SOT1A6,1.8614
SOT1A7,1.8494
SOT1A8,1.8608
SOT1B1,1.8842
SOT1B2,1.8669
SOT1B3,1.8425
SOT1B4,1.8102
SOT1B5,1.8452
SOT1B6,1.8468
SOT1B7,1.862
SOT1B8,1.8631
SOT1C1,1.8529
SOT1C2,1.8517
SOT1C3,1.8428
SOT1C4,1.8371
SOT1C5,1.8686
SOT1C6,1.844
SOT1C7,1.8284
SOT1C8,1.8402
GCT2A1,1.8523
GCT2A2,1.8517
GCT2A3,1.8313
GCT2A4,1.8863
GCT2A5,1.8832
GCT2A7,1.8852
GCT2A8,1.8637
GCT2B1,1.8539
GCT2B2,1.8675
GCT2B3,1.8752
GCT2B4,1.8646
GCT2B5,1.8624
GCT2B6,1.8472
GCT2B7,1.8447
GCT2B8,1.8609
GCT2C1,1.8747
GCT2C2,1.8899
GCT2C3,1.8997
GCT2C4,1.8903
GCT2C5,1.8756
GCT2C6,1.883
GCT2C7,1.886
GCT2C8,1.8538
GOT2A1,1.8366
GOT2A2,1.832
GOT2A3,1.8532
GOT2A4,1.8791
GOT2A5,1.8882
GOT2A6,1.8658
GOT2A7,1.8649
GOT2A8,1.8467
GOT2B1,1.8391
GOT2B2,1.8439
GOT2B3,1.8657
GOT2B4,1.8366
GOT2B5,1.8296
GOT2B6,1.8446
GOT2B7,1.8445
GOT2B8,1.8477
GOT2C1,1.8764
GOT2C2,1.8537
GOT2C3,1.8565
GOT2C4,1.856
GOT2C5,1.8258
GOT2C6,1.8443
GOT2C7,1.8161
GOT2C8,1.8115
SCT2A1,1.8499
SCT2A2,1.8585
SCT2A3,1.8502
SCT2A4,1.8227
SCT2A5,1.8424
SCT2A6,1.8516
SCT2A7,1.8558
SCT2A8,1.8344
SCT2B1,1.8194
SCT2B2,1.8073
SCT2B3,1.834
SCT2B4,1.8654
SCT2B5,1.8279
SCT2B6,1.8231
SCT2B7,1.8274
SCT2B8,1.8589
SCT2C1,1.8618
SCT2C2,1.8593
SCT2C3,1.8496
SCT2C4,1.8574
SCT2C5,1.853
SCT2C6,1.8523
SCT2C7,1.8651
SCT2C8,1.8784
SOT2A1,1.868
SOT2A2,1.8622
SOT2A3,1.8403
SOT2A4,1.8573
SOT2A5,1.8564
SOT2A6,1.8649
SOT2A7,1.8521
SOT2A8,1.8604
SOT2B1,1.8578
SOT2B2,1.8575
SOT2B3,1.8215
SOT2B4,1.8402
SOT2B5,1.8456
SOT2B6,1.8604
SOT2B7,1.8691
SOT2B8,1.8846
SOT2C1,1.8628
SOT2C2,1.8584
SOT2C3,1.8481
SOT2C4,1.8355
SOT2C5,1.8528
SOT2C6,1.8386
SOT2C7,1.8421
SOT2C8,1.8211
GCT4A1,1.8752
GCT4A2,1.8817
GCT4A3,1.8872
GCT4A4,1.8852
GCT4A5,1.903
GCT4A6,1.8811
GCT4A7,1.8734
GCT4A8,1.8524
GCT4B1,1.8405
GCT4B2,1.8103
GCT4B3,1.8212
GCT4B4,1.8855
GCT4B5,1.8718
GCT4B6,1.8367
GCT4B7,1.8709
GCT4B8,1.8577
GCT4C1,1.8162
GCT4C2,1.8644
GCT4C3,1.8925
GCT4C4,1.8673
GCT4C5,1.8812
GCT4C6,1.8487
GCT4C7,1.8859
GOT4A1,1.8519
GOT4A2,1.8552
GOT4A3,1.8532
GOT4A4,1.8399
GOT4A5,1.8515
GOT4A6,1.854
GOT4A7,1.8532
GOT4A8,1.8593
GOT4B1,1.8692
GOT4B2,1.8561
GOT4B3,1.8511
GOT4B4,1.844
GOT4B5,1.8355
GOT4B6,1.8441
GOT4B7,1.84
GOT4B8,1.8384
GOT4C1,1.8724
GOT4C2,1.8496
GOT4C3,1.863
GOT4C4,1.8714
GOT4C5,1.847
GOT4C6,1.8823
GOT4C7,1.8277
GOT4C8,1.8597
SCT4A1,1.8903
SCT4A2,1.8935
SCT4A3,1.8668
SCT4A4,1.841
SCT4A5,1.8805
SCT4A6,1.8764
SCT4A7,1.8523
SCT4A8,1.8594
SCT4B1,1.8322
SCT4B2,1.8592
SCT4B3,1.8556
SCT4B4,1.8633
SCT4B5,1.8889
SCT4B6,1.8678
SCT4B7,1.8591
SCT4B8,1.8604
SCT4C1,1.8762
SCT4C2,1.8325
SCT4C3,1.8351
SCT4C4,1.8346
SCT4C5,1.8269
SCT4C6,1.8281
SCT4C7,1.8729
SCT4C8,1.8662
SOT4A1,1.8728
SOT4A2,1.881
SOT4A3,1.8751
SOT4A4,1.8429
SOT4A5,1.8462
SOT4A6,1.8604
SOT4A7,1.8416
SOT4A8,1.858
SOT4B1,1.8432
SOT4B2,1.8489
SOT4B3,1.8504
SOT4B4,1.8588
SOT4B5,1.8533
SOT4B6,1.8464
SOT4B7,1.8343
SOT4B8,1.8375
SOT4C1,1.8388
SOT4C2,1.8705
SOT4C3,1.8357
SOT4C4,1.8869
SOT4C5,1.8862
SOT4C6,1.8562
SOT4C7,1.8556
SOT4C8,1.8532
