Old_Sample_ID,Mass_Loss?,Initial Green Litter Mass (g),Initials,Notes:
SOT1A1,Y,5.05,KW,
SOT1A2,Y,4.91,KW,
SOT1A3,Y,5.03,KW,
SOT1A4,Y,5.03,KH,
SOT1B1,Y,5.09,KH,
SOT1B2,Y,5.06,KH,
SOT1B3,Y,4.92,KH,
SOT1B4,Y,5.09,KH,
SOT1C1,Y,5.02,KH,
SOT1C2,Y,5.16,KH,
SOT1C3,Y,5.19,KW,
SOT1C4,Y,4.8,KW,
SOT1A5,Y,5.04,KH,
SOT1A6,Y,4.93,KH,
SOT1A7,Y,4.95,KH,
SOT1A8,Y,4.85,KH,
SOT1B5,Y,5.19,KH,
SOT1B6,Y,4.95,KH,
SOT1B7,Y,5.1,KH,
SOT1B8,Y,5.22,KH,
SOT1C5,Y,5.02,KH,
SOT1C6,Y,5.26,KH,
SOT1C7,Y,5.28,KH,
SOT1C8,Y,4.91,KH,
SCT1A1,Y,5.03,CW,
SCT1A2,Y,5.01,CW,
SCT1A3,Y,5.11,CW,
SCT1A4,Y,5.15,CW,
SCT1B1,Y,4.98,CW,
SCT1B2,Y,5.01,CW,
SCT1B3,Y,5.06,CW,
SCT1B4,Y,5.01,CW,
SCT1C1,Y,5.12,CW,
SCT1C2,Y,5.16,CW,
SCT1C3,Y,5.09,CW,
SCT1C4,Y,5.14,CW,
SCT1A5,Y,4.996,CW,
SCT1A6,Y,5.158,CW,
SCT1A7,Y,4.931,CW,
SCT1A8,Y,5.186,CW,
SCT1B5,Y,5.135,CW,
SCT1B6,Y,4.929,CW,
SCT1B7,Y,5.048,CW,
SCT1B8,Y,5.096,CW,
SCT1C5,Y,5.006,CW,
SCT1C6,Y,4.915,CW,
SCT1C7,Y,5.163,CW,
SCT1C8,Y,4.959,CW,
GOT1A1,Y,5.07,KW,
GOT1A2,Y,4.95,KW,
GOT1A3,Y,5,KW,
GOT1A4,Y,4.88,KW,
GOT1B1,Y,5.02,KH,
GOT1B2,Y,4.94,KW,
GOT1B3,Y,4.94,KH,
GOT1B4,Y,5.07,KH,
GOT1C1,Y,5.16,KH,
GOT1C2,Y,4.91,KH,
GOT1C3,Y,5.17,KH,
GOT1C4,Y,5.09,KW,
GOT1A5,Y,4.84,KW,
GOT1A6,Y,4.97,KH,
GOT1A7,Y,5.13,KH,
GOT1A8,Y,5.03,KW,
GOT1B5,Y,5.04,KH,
GOT1B6,Y,5.12,KW,
GOT1B7,Y,5.15,KW,
GOT1B8,Y,4.93,KH,
GOT1C5,Y,5.19,KH,
GOT1C6,Y,4.95,KW,
GOT1C7,Y,5.11,KH,
GOT1C8,Y,4.82,KH,a blad fell through the holes in the gate
GCT1A1,Y,4.963,CW,
GCT1A2,Y,4.996,CW,
GCT1A3,Y,5.086,CW,
GCT1A4,Y,5.014,CW,
GCT1B1,Y,5.111,CW,
GCT1B2,Y,5.03,CW,Glue did not stick on one side
GCT1B3,Y,,CW,Didn't get made; ran out of nylon
GCT1B4,Y,4.943,CW,
GCT1C1,Y,5.004,CW,
GCT1C2,Y,5.023,CW,
GCT1C3,Y,4.976,CW,
GCT1C4,Y,5.061,CW,
GCT1A5,Y,4.986,CW,
GCT1A6,Y,5.075,CW,
GCT1A7,Y,4.988,CW,
GCT1A8,Y,,CW,not measured
GCT1B5,Y,5.142,CW,
GCT1B6,Y,5.045,CW,
GCT1B7,Y,5.067,CW,
GCT1B8,Y,5.028,CW,
GCT1C5,Y,5.013,CW,
GCT1C6,Y,5.035,CW,"less grass blades, more stem"
GCT1C7,Y,5.026,CW,
GCT1C8,Y,5.016,CW,
SOT2A1,Y,5.3,KW,
SOT2A2,Y,4.91,KW,
SOT2A3,Y,5.06,KW,
SOT2A4,Y,4.94,KW,
SOT2B1,Y,5.01,KW,
SOT2B2,Y,5.25,KW,
SOT2B3,Y,5.17,KW,
SOT2B4,Y,5.08,KW,
SOT2C1,Y,5.06,KW,
SOT2C2,Y,5.12,KW,
SOT2C3,Y,5.05,KW,
SOT2C4,Y,5.16,KW,
SOT2A5,Y,4.97,KH,
SOT2A6,Y,5.17,KH,
SOT2A7,Y,5.05,KH,
SOT2A8,Y,4.92,KH,
SOT2B5,Y,4.88,KH,
SOT2B6,Y,4.93,KH,
SOT2B7,Y,4.82,KH,
SOT2B8,Y,4.9,KH,
SOT2C5,Y,5.26,KH,
SOT2C6,Y,4.97,KH,
SOT2C7,Y,4.86,KH,
SOT2C8,Y,5.26,KH,
SCT2A1,Y,5.06,CW,
SCT2A2,Y,5.17,CW,
SCT2A3,Y,5.17,CW,
SCT2A4,Y,5.15,CW,one of the sides glue didn't hold
SCT2B1,Y,4.67,CW,-0.42g because left a couple of leaves behind
SCT2B2,Y,5.05,CW,
SCT2B3,Y,5.06,CW,
SCT2B4,Y,5.11,CW,
SCT2C1,Y,5.04,CW,
SCT2C2,Y,5.04,CW,
SCT2C3,Y,5.03,CW,
SCT2C4,Y,5.07,CW,
SCT2A5,Y,5.055,CW,
SCT2A6,Y,5.14,CW,
SCT2A7,Y,5.09,CW,
SCT2A8,Y,5.141,CW,
SCT2B5,Y,4.967,CW,
SCT2B6,Y,5.065,CW,
SCT2B7,Y,5.166,CW,
SCT2B8,Y,5.142,CW,
SCT2C5,Y,5.02,CW,
SCT2C6,Y,5.073,CW,
SCT2C7,Y,4.924,CW,
