SampleID,Wet Mass (g),Dry Mass (g),Litter Type,Dry_to_Wet_Ratio
G_T0R1,1.9157,1.007,Grass,0.525656418
G_T0R2,2.5364,1.298,Grass,0.5117489355
G_T0R3,2.1431,1.024,Grass,0.4778125146
G_T0R4,2.3699,1.198,Grass,0.5055065615
G_T0R5,1.5168,0.753,Grass,0.4964398734
G_T0R6,3.7731,1.972,Grass,0.5226471602
G_T0R7,2.7393,1.362,Grass,0.4972073157
G_T0R8,3.6506,1.914,Grass,0.5242973758
S_T0R1,3.4221,1.505,Shrub,0.439788434
S_T0R2,3.0792,1.366,Shrub,0.4436217199
S_T0R3,3.1872,1.506,Shrub,0.4725150602
S_T0R4,2.7471,1.195,Shrub,0.4350041862
S_T0R5,3.2312,1.39,Shrub,0.4301807378
S_T0R6,2.5747,1.118,Shrub,0.4342253466
S_T0R7,2.3514,1.031,Shrub,0.4384621927
S_T0R8,2.9414,1.242,Shrub,0.4222479092
