SampleID,Full Litterbag (g),Empty Litterbag (g),Ground Litter (g),Initials,Notes
SOT1A4,5.4167,3.1463,2.2025,KW,
GCT1B8,9.6464,6.2689,3.3846,KW,
SOT1C4,5.3672,3.1364,2.2105,KW,
GOT1C6,6.13,3.09,2.91,KH,
SOT1C6,5.88,3.19,2.65,KH,
GOT1C1,6.99,3.12,3.54,KH,
SOT1C2,5.62,3.11,2.4,KH,
GOT1A5,6.01,3.14,2.66,KH,
GOT1B7,6.05,3.11,2.75,KH,
SOT1B7,5.34,3.11,2.11,KH,
GOT1A4,6.35,3.17,3.1,KH,
SOT1B8,5.66,3.11,2.46,KH,
GOT1B4,6.86,3.2,3.56,KH,
SOT1A6,5.48,3.15,2.3,KH,
SOT1C5,6.39,3.85,2.48,KH,
GOT1A7,6.56,3.02,3.37,KW,
SCT1C2,8.61,6.26,2.29,KW,
GCT1A6,9.05,6.22,2.71,KW,"small tear in nylon, nothing leaked out"
SCT1C5,8.72,6.25,2.39,KW,
GCT1B5,9.81,6.27,3.32,KW,
GOT1C4,6.1,3.11,2.97,KW,
SCT1B2,8.71,6.27,2.34,KW,
GCT1C3,9.21,6.38,2.81,KW,
SCT1B6,8.64,6.22,2.3,KW,
SOT1B3,5.75,3.14,2.61,KW,
SCT1B5,8.68,6.14,2.53,KW,
GCT1A8,9.11,6.2,2.87,KW,
GCT1C2,9.21,6.14,3.07,KW,
GCT1A5,8.95,6.43,2.53,KW,
SOT1A3,5.61,3.13,2.27,KW,
SOT1A1,5.78,3.16,1.86,KW,
SOT1A8,6.49,4.27,1.97,KW,
GOT1A6,6.71,3.08,3.51,KW,
SOT1A2,5.52,3.06,2.32,KW,
GOT1A3,6.06,3.09,2.86,KW,
GOT1C7,6.4,3.14,3.18,KW,
SCT1B7,8.75,6.33,2.22,KW,
GCT1B4,9.64,6.26,3.35,KW,
SOT1B1,5.67,3.11,2.45,CW,
SOT1B6,5.36,3.11,2.17,CW,
SCT1C7,8.58,6.27,2.24,CW,
GOT1A2,6.48,3.23,2.82,CW,
GCT1C8,9.19,6.25,2.84,CW,
GOT1C2,6.85,3.15,3.48,CW,
SOT1A5,5.74,3.14,2.54,CW,
SCT1C6,8.56,6.31,2.12,CW,
SOT1C1,5.68,3.12,2.22,CW,
GCT1A2,9.07,6.22,2.8,CW,
GOT1C3,6.78,3.09,3.54,CW,
SCT1A7,8.52,6.24,2.21,CW,
GCT1A7,9.48,6.26,3.01,CW,
GOT1C5,6.74,3.13,3.43,CW,
SOT1C7,5.3,3.07,2.17,CW,
GOT1A1,6.69,3.14,3.46,CW,
GOT1A8,6.21,3,3.23,CW,
SCT1C8,8.5,6.19,2.29,CW,
SCT1B8,8.66,6.3,2.3,CW,
SOT1C8,5.65,3.19,2.41,CW,
SOT1C3,5.56,3.2,2.18,CW,
GOT1B6,6.22,3.12,2.86,CW,
SCT1C1,8.41,6.22,2.02,CW,
SCT1A1,9.46,6.67,2.65,CW,
SCT1B1,8.54,6.2,2.19,CW,
GCT1C5,9.4,6.41,2.79,CW,
GCT1A1,9.98,6.3,3.66,CW,
SCT1C4,8.64,6.28,2.26,CW,
SOT1B4,5.51,3.14,2.32,CW,
SOT1B2,5.39,3.03,2.24,CW,
GOT1B2,6.2,3.01,3.11,CW,
GOT1B1,6.91,3.14,3.65,CW,
SCT1B3,8.57,6.33,2.23,CW,
GCT1C4,9.24,6.29,2.83,CW,
GOT1B3,6.66,3.07,3.42,CW,
GCT1C1,9.47,6.23,2.86,CW,
GOT1B5,6.53,3.13,3.32,CW,
GCT1B7,9.58,6.19,3.19,CW,
GOT1C8,6.38,3.14,3.09,CW,
SCT1A4,8.45,6.18,2.29,CW,
SOT1A7,5.45,3.03,2.37,CW,
GCT1A4,9.74,6.39,3.26,CW,
SCT1A2,9.04,6.3,2.51,CW,
SOT1B5,5.57,3.09,2.46,CW,
GCT1B2,9.24,6.36,2.81,CW,
GOT1B8,6.57,3.12,3.41,CW,
GCT1B1,9.7,6.35,3.04,CW,
SCT1A8,8.63,6.29,2.22,CW,
SCT1A5,8.58,6.23,2.07,CW,
GCT1C6,9.5,6.18,3.19,CW,
GCT1C7,9.83,6.29,2.78,CW,
SCT1C3,8.5,6.1,2.35,CW,
SCT1A3,8.56,6.25,2.15,CW,
SCT1B4,8.69,6.32,2.31,CW,
GCT1B6,9.6,6.25,3.22,CW,
GCT1A3,9.55,6.32,3.08,CW,
SCT1A6,8.74,6.3,2.35,CW,
