SampleID,Dry Envelope + Litter (g),Notes
GCT1A1,2.517,
GCT1A2,2.6543,
GCT1A3,2.7236,
GCT1A4,2.7744,
GCT1A5,2.5659,
GCT1A6,2.8834,
GCT1A7,2.6234,
GCT1A8,3.0225,
GCT1B1,2.7817,
GCT1B2,2.6427,
GCT1B4,2.6726,
GCT1B5,3.2664,
GCT1B6,2.7401,
GCT1B7,2.5969,
GCT1B8,2.6888,
GCT1C1,2.5588,
GCT1C2,2.9405,
GCT1C3,2.7949,
GCT1C4,2.5178,
GCT1C5,2.6099,
GCT1C6,2.6581,
GCT1C7,2.6801,
GCT1C8,2.505,
GOT1A1,2.4288,
GOT1A2,2.7297,
GOT1A3,2.956,
GOT1A4,2.6833,
GOT1A5,2.7567,
GOT1A6,2.5433,
GOT1A7,2.9753,
GOT1A8,2.6796,
GOT1B1,2.481,
GOT1B2,2.5446,
GOT1B3,2.7035,
GOT1B4,2.6547,
GOT1B5,2.7559,
GOT1B6,2.5784,
GOT1B7,2.4414,
GOT1B8,2.562,
GOT1C1,2.4463,
GOT1C2,2.8158,
GOT1C3,2.6263,
GOT1C4,2.8529,
GOT1C5,2.6605,
GOT1C6,2.5229,
GOT1C7,2.7876,
GOT1C8,2.628,
SCT1A1,2.7966,"Was written down as ""SOT1A1"" but because heavier was reassigned to SCT1A1"
SCT1A2,2.6967,
SCT1A3,2.5261,
SCT1A4,2.8543,
SCT1A5,2.4626,
SCT1A6,2.5438,
SCT1A7,2.7529,
SCT1A8,2.4807,
SCT1B1,2.5039,
SCT1B2,3.19,
SCT1B3,2.6551,
SCT1B4,2.6085,
SCT1B5,2.9165,
SCT1B6,2.7815,
SCT1B7,3.2908,
SCT1B8,2.7279,
SCT1C1,2.5964,
SCT1C2,3.0467,
SCT1C3,2.6835,
SCT1C4,2.54,
SCT1C5,2.8234,
SCT1C6,2.5211,
SCT1C7,2.7545,
SCT1C8,2.8062,
SOT1A1,2.6292,
SOT1A2,2.8469,
SOT1A3,2.7142,
SOT1A4,2.8466,
SOT1A5,2.781,
SOT1A6,2.7372,
SOT1A7,2.5095,
SOT1A8,2.7038,
SOT1B1,2.6711,
SOT1B2,2.5685,
SOT1B3,2.7788,
SOT1B4,2.5021,
SOT1B5,2.5281,
SOT1B6,2.572,
SOT1B7,2.6438,
SOT1B8,2.6668,
SOT1C1,2.7539,
SOT1C2,2.5665,
SOT1C3,2.7352,
SOT1C4,2.6348,
SOT1C5,2.6212,
SOT1C6,2.6576,
SOT1C7,2.706,
SOT1C8,2.5939,
