SampleID,Litter in Bead Beating Tube (g),Envelope + Wet Litter (g),Initials,Notes
GCT4A1,0.0498,3.1142,SF,
GCT4A2,0.0478,2.8651,KW,
GCT4A3,0.0464,2.9674,KW,
GCT4A4,0.0659,2.9346,SF,
GCT4A5,0.0633,3.5879,SF,
GCT4A6,0.066,2.8017,SF,
GCT4A7,0.0487,3.0584,SF,
GCT4A8,0.0633,2.7773,SF,
GCT4B1,0.0529,2.9843,SF,
GCT4B2,0.045,2.8565,KW,
GCT4B3,0.055,2.8881,SF,
GCT4B4,0.0575,3.4425,SF,
GCT4B5,0.0515,3.145,KW,
GCT4B6,0.0536,2.9233,SF,
GCT4B7,0.0504,3.1068,KW,
GCT4B8,0.0494,2.6505,KW,
GCT4C1,0.0514,2.6525,KW,
GCT4C2,0.0574,2.8064,SF,
GCT4C3,0.0491,3.0093,SF,
GCT4C4,0.0479,3.1059,KW,
GCT4C5,0.0716,2.8497,SF,
GCT4C6,0.0728,2.922,SF,
GCT4C7,0.0531,3.2474,SF,
GOT4A1,0.0465,2.8419,KW,
GOT4A2,0.042,2.9101,KW,
GOT4A3,0.0525,3.4697,SF,
GOT4A4,0.0522,3.5008,SF,
GOT4A5,0.0604,2.9851,SF,
GOT4A6,0.0571,2.687,SF,
GOT4A7,0.0767,2.7356,SF,
GOT4A8,0.0486,2.8782,KW,
GOT4B1,0.0675,2.7585,SF,
GOT4B2,0.0492,2.8314,KW,
GOT4B3,0.0641,2.8189,SF,
GOT4B4,0.0484,3.1713,KW,
GOT4B5,0.0617,3.5771,KW,
GOT4B6,0.0454,2.8563,SF,
GOT4B7,0.0651,3.0359,SF,
GOT4B8,0.0548,3.4614,KW,
GOT4C1,0.0441,2.7815,KW,
GOT4C2,0.0451,2.8028,KW,
GOT4C3,0.0435,2.8185,KW,
GOT4C4,0.0658,3.9241,SF,
GOT4C5,0.0516,3.3228,SF,
GOT4C6,0.0474,2.9963,KW,
GOT4C7,0.0621,3.2119,SF,
GOT4C8,0.0708,2.7486,SF,
SCT4A1,0.0512,3.1963,SF,
SCT4A2,0.051,2.7195,KW,
SCT4A3,0.0508,2.8395,KW,
SCT4A4,0.0714,2.771,SF,
SCT4A5,0.0636,2.7696,SF,
SCT4A6,0.0509,3.4425,KW,
SCT4A7,0.0625,2.6926,SF,
SCT4A8,0.0738,3.1584,SF,
SCT4B1,0.0556,2.9069,SF,
SCT4B2,0.0487,3.0187,KW,
SCT4B3,0.0547,2.8465,SF,
SCT4B4,0.0533,3.2438,SF,
SCT4B5,0.048,2.9252,KW,
SCT4B6,0.058,2.8429,SF,
SCT4B7,0.0488,3.0735,KW,
SCT4B8,0.0604,2.8598,KW,
SCT4C1,0.0533,3.0122,SF,
SCT4C2,0.0659,2.8406,SF,
SCT4C3,0.0517,2.9621,SF,
SCT4C4,0.0595,2.6892,SF,
SCT4C5,0.0594,2.6734,KW,
SCT4C6,0.0635,2.739,SF,
SCT4C7,0.0561,2.7386,SF,
SCT4C8,0.0676,2.9494,SF,
SOT4A1,0.0471,2.8222,KW,
SOT4A2,0.0512,2.9716,SF,
SOT4A3,0.055,2.7315,KW,
SOT4A4,0.0514,3.4059,SF,
SOT4A5,0.0553,2.8702,KW,
SOT4A6,0.0505,2.8032,SF,
SOT4A7,0.0532,2.704,KW,
SOT4A8,0.0771,2.7653,SF,
SOT4B1,0.0704,3.0358,SF,
SOT4B2,0.0545,3.356,KW,
SOT4B3,0.0772,2.7991,SF,
SOT4B4,0.0652,2.8161,SF,
SOT4B5,0.0487,2.7553,KW,
SOT4B6,0.0477,2.6804,SF,
SOT4B7,0.5027,2.6939,SF,
SOT4B8,0.0515,2.739,SF,
SOT4C1,0.0524,2.6389,SF,
SOT4C2,0.0509,2.7643,SF,
SOT4C3,0.0702,2.7769,SF,
SOT4C4,0.0647,3.0338,KW,
SOT4C5,0.0466,2.76,KW,previously SOT1C5
SOT4C6,0.0516,3.0677,KW,empty envelope = 1.8343
SOT4C7,0.0544,2.9388,KW,
SOT4C8,0.0474,3.3894,KW,
