#SampleID	SourceSink	Env
AirT2R2	sink	Air
AirT2R4	sink	Air
AirT2R5	sink	Air
AirT2R6	sink	Air
AirT4R1	sink	Air
AirT4R12	sink	Air
AirT4R2	sink	Air
AirT4R4	sink	Air
AirT4R5	sink	Air
AirT4R6	sink	Air
EnvG_T2R1	sink	EnvG
EnvG_T2R2	sink	EnvG
EnvG_T2R3	sink	EnvG
EnvG_T2R4	sink	EnvG
EnvG_T2R5	sink	EnvG
EnvG_T2R6	sink	EnvG
EnvS_T2R1	sink	EnvS
EnvS_T2R2	sink	EnvS
EnvS_T2R3	sink	EnvS
EnvS_T2R4	sink	EnvS
EnvS_T2R5	sink	EnvS
EnvS_T2R6	sink	EnvS
LDT0R1G	sink	LD
LDT0R2S	sink	LD
LDT0R3G	sink	LD
LDT0R4G	sink	LD
LDT0R4S	sink	LD
LDT0R5G	sink	LD
LDT0R5S	sink	LD
LDT0R6G	sink	LD
LDT0R6S	sink	LD
LDT1R1AS	sink	LD
LDT1R2BS	sink	LD
LDT1R3CS	sink	LD
LDT1R4AG	sink	LD
LDT1R5BG	sink	LD
LDT1R6CG	sink	LD
LDT1R7AS	sink	LD
LDT2R10CG	sink	LD
LDT2R1AS	sink	LD
LDT2R3CS	sink	LD
LDT2R5BG	sink	LD
LDT2R6CG	sink	LD
LDT2R7CS	sink	LD
LDT3R1AS	sink	LD
LDT3R2BS	sink	LD
LDT3R3CS	sink	LD
LDT3R4AG	sink	LD
LDT3R5BG	sink	LD
LDT4R1AS	sink	LD
LDT4R2BS	sink	LD
LDT4R3CS	sink	LD
LDT4R4AG	sink	LD
LDT4R6CG	sink	LD
LDT4R7CS	sink	LD
LOT1A2	sink	LO
LOT1A3	sink	LO
LOT1A4	sink	LO
LOT1A5	sink	LO
LOT1A6	sink	LO
LOT1A7	sink	LO
LOT1A8	sink	LO
LOT1B1	sink	LO
LOT1B2	sink	LO
LOT1B5	sink	LO
LOT1B6	sink	LO
LOT1B8	sink	LO
LOT1C2	sink	LO
LOT1C3	sink	LO
LOT1C4	sink	LO
LOT1C5	sink	LO
LOT1C6	sink	LO
LOT1C7	sink	LO
LOT1C8	sink	LO
LOT2A1	sink	LO
LOT2A2	sink	LO
LOT2A3	sink	LO
LOT2A4	sink	LO
LOT2A5	sink	LO
LOT2A6	sink	LO
LOT2A7	sink	LO
LOT2A8	sink	LO
LOT2B1	sink	LO
LOT2B2	sink	LO
LOT2B3	sink	LO
LOT2B4	sink	LO
LOT2B5	sink	LO
LOT2B7	sink	LO
LOT2B8	sink	LO
LOT2C1	sink	LO
LOT2C2	sink	LO
LOT2C3	sink	LO
LOT2C5	sink	LO
LOT2C6	sink	LO
LOT2C7	sink	LO
LOT2C8	sink	LO
LOT3A1	sink	LO
LOT3A2	sink	LO
LOT3A3	sink	LO
LOT3A4	sink	LO
LOT3A5	sink	LO
LOT3A6	sink	LO
LOT3A8	sink	LO
LOT3B1	sink	LO
LOT3B2	sink	LO
LOT3B3	sink	LO
LOT3B4	sink	LO
LOT3B5	sink	LO
LOT3B7	sink	LO
LOT3B8	sink	LO
LOT3C1	sink	LO
LOT3C2	sink	LO
LOT3C3	sink	LO
LOT3C5	sink	LO
LOT3C6	sink	LO
LOT3C7	sink	LO
LOT3C8	sink	LO
LOT4A1	sink	LO
LOT4A2	sink	LO
LOT4A3	sink	LO
LOT4A5	sink	LO
LOT4A7	sink	LO
LOT4A8	sink	LO
LOT4B1	sink	LO
LOT4B3	sink	LO
LOT4B4	sink	LO
LOT4B5	sink	LO
LOT4B6	sink	LO
LOT4B7	sink	LO
LOT4B8	sink	LO
LOT4C1	sink	LO
LOT4C2	sink	LO
LOT4C3	sink	LO
LOT4C4	sink	LO
LOT4C5	sink	LO
LOT4C7	sink	LO
LOT4C8	sink	LO
N3	source	N
N4	source	N
N5	source	N
Soil_T2R1	sink	Soil
Soil_T2R10	sink	Soil
Soil_T2R11	sink	Soil
Soil_T2R12	sink	Soil
Soil_T2R2	sink	Soil
Soil_T2R3	sink	Soil
Soil_T2R4	sink	Soil
Soil_T2R5	sink	Soil
Soil_T2R6	sink	Soil
Soil_T2R7	sink	Soil
Soil_T2R8	sink	Soil
Soil_T2R9	sink	Soil
