sampleid	plot	Block	plotTreatment	LitterOrigin	MicrobialOrigin	moTreatment	moLitter	replicate	timepoint	Comments	Collection	WetMass (g) Envelope	DryMass (g)	factor to adjust to dry weight	BactCountWeightwet (g) 50mL (B)	bactcountweightdry	PctMassRem	Bacterialcount/g wet weight	BACavgcount/g dry weight	bacCarbon (JM 2017) ug C/ gram dry litter	bacCarbon (SG 2018) ug C/ gram dry litter
1.XGA1	4LXX	2	ambient	grass	ambient.grass	ambient	grass	1	1		4/11/18	0.991	0.88	0.112008073	0.1	0.0888		3.53E+06	3.97E+07	1.15E-09	2.9
1.XGA2	8LXX	3	ambient	grass	ambient.grass	ambient	grass	2	1		4/11/18	1	0.88	0.12	0.1	0.088		2.04E+06	2.32E+07	6.70E-10	1.69
1.XGA3	18RXX	6	ambient	grass	ambient.grass	ambient	grass	3	1		4/11/18	1.96	1.7	0.132653061	0.11	0.09541		5.70E+06	5.97E+07	1.73E-09	4.36
1.XGA4	22LXX	8	ambient	grass	ambient.grass	ambient	grass	4	1		4/11/18	1.129	1	0.114260407	0.117	0.10363		1.60E+06	1.54E+07	4.45E-10	1.12
2.XGA1	4LXX	2	ambient	grass	ambient.grass	ambient	grass	1	2		9/24/18	1.086	1.0435	0.039134438	0.1408	0.13529		2.06E+08	2.15E+08	6.22E-09	15.69
2.XGA2	8LXX	3	ambient	grass	ambient.grass	ambient	grass	2	2		9/24/18	0.99	0.9055	0.085353535	0.11	0.10061		8.47E+08	9.26E+08	2.68E-08	67.58
2.XGA3	18RXX	6	ambient	grass	ambient.grass	ambient	grass	3	2	needed to be replaced 9/28/18	9/28/18	1.0064	0.9802	0.026033386	0.1047	0.10197		4.81E+08	4.94E+08	1.43E-08	36.05
2.XGA4	22LXX	8	ambient	grass	ambient.grass	ambient	grass	4	2		9/24/18	1.066	1.0367	0.027485929	0.1	0.09725		2.35E+08	2.42E+08	7.00E-09	17.66
3.XGA1	4LXX	2	ambient	grass	ambient.grass	ambient	grass	1	3		5/31/19	0.9532	0.8649	0.092635334	0.97	0.88014		7.91E+07	8.71E+07	2.52E-09	6.36
3.XGA2	8LXX	3	ambient	grass	ambient.grass	ambient	grass	2	3		5/31/19	1.2716	1.1648	0.083988676	0.1186	0.10864		5.62E+07	6.14E+07	1.78E-09	4.48
3.XGA3	18RXX	6	ambient	grass	ambient.grass	ambient	grass	3	3		5/31/19	1.2086	1.0814	0.105245739	0.1023	0.09153		1.59E+09	1.78E+09	5.15E-08	129.91
3.XGA4	22LXX	8	ambient	grass	ambient.grass	ambient	grass	4	3		5/31/19	1.07	0.968	0.095327103	0.1	0.09047		1.30E+09	1.43E+09	4.13E-08	104.37
1.XSC1	4LXX	2	ambient	shrub	ambient.shrub	ambient	shrub	1	1		4/11/18	1.03	0.9	0.126213592	0.11	0.09612		1.39E+05	1.45E+06	4.19E-11	0.11
1.XSC2	8LXX	3	ambient	shrub	ambient.shrub	ambient	shrub	2	1		4/11/18	0.94	0.81	0.138297872	0.1	0.08617		1.33E+06	1.54E+07	4.46E-10	1.13
1.XSC3	18RXX	6	ambient	shrub	ambient.shrub	ambient	shrub	3	1		4/11/18	1.167	1.01	0.134532991	0.093	0.08049		5.35E+05	6.64E+06	1.92E-10	0.48
1.XSC4	22LXX	8	ambient	shrub	ambient.shrub	ambient	shrub	4	1		4/11/18	2.14	1.94	0.093457944	0.1	0.09065		3.88E+05	4.28E+06	1.24E-10	0.31
2.XSC1	4LXX	2	ambient	shrub	ambient.shrub	ambient	shrub	1	2		9/24/18	1.0439	0.9668	0.073857649	0.1211	0.11216		5.95E+08	6.42E+08	1.86E-08	46.85
2.XSC2	8LXX	3	ambient	shrub	ambient.shrub	ambient	shrub	2	2		9/24/18	1.04	0.8683	0.165096154	0.16	0.13358		8.02E+07	9.61E+07	2.78E-09	7.01
2.XSC3	18RXX	6	ambient	shrub	ambient.shrub	ambient	shrub	3	2		9/24/18	1	0.9341	0.0659	0.12	0.11209		3.23E+08	3.46E+08	1.00E-08	25.25
2.XSC4	22LXX	8	ambient	shrub	ambient.shrub	ambient	shrub	4	2		9/24/18	1.0277	0.9333	0.0918556	0.1676	0.15221		1.08E+08	1.18E+08	3.41E-09	8.61
3.XSC1	4LXX	2	ambient	shrub	ambient.shrub	ambient	shrub	1	3		5/31/19	1.0562	0.939	0.110963833	0.1172	0.1042		1.69E+09	1.90E+09	5.49E-08	138.67
3.XSC2	8LXX	3	ambient	shrub	ambient.shrub	ambient	shrub	2	3		5/31/19	1.0164	0.9031	0.111471862	0.1152	0.10236		1.39E+09	1.56E+09	4.51E-08	113.85
3.XSC3	18RXX	6	ambient	shrub	ambient.shrub	ambient	shrub	3	3		5/31/19	1.0842	0.9709	0.104501015	0.1212	0.10853		4.56E+08	5.09E+08	1.47E-08	37.15
