Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count
23,T0__Death__61920,unstained_GTA,3092,6/19/2020 3:49:07 PM,2.75,55,0.05
23,T0__Death__61920,n1,3093,6/19/2020 3:50:18 PM,592,19464,0.394
23,T0__Death__61920,n2,3094,6/19/2020 3:52:37 PM,635,12691,2.4
23,T0__Death__61920,n3,3095,6/19/2020 3:53:48 PM,757,15090,0.25
23,T0__Death__61920,n4,3096,6/19/2020 3:55:44 PM,1047,20877,0.75
23,T0__Death__61920,g1_unstained?,3097,6/19/2020 3:57:02 PM,4770,76453,484
23,T0__Death__61920,unstained_GTA(1),3104,6/19/2020 3:58:13 PM,313,6141,15.2
23,T0__Death__61920,unstained_GTA(2),3131,6/19/2020 3:59:27 PM,33.6,671,0.9
23,T0__Death__61920,g1 1:100(1),3130,6/19/2020 4:00:36 PM,41.8,823,3.1
23,T0__Death__61920,s1 1:100,3101,6/19/2020 4:04:52 PM,45.7,913,0.25
23,T0__Death__61920,g2 1:100,3136,6/19/2020 4:11:01 PM,50.6,1012,0.45
23,T0__Death__61920,g3 1:100,3137,6/19/2020 4:12:18 PM,45.7,913,7.5
23,T0__Death__61920,g4 1:100,3138,6/19/2020 4:13:33 PM,67.1,1342,8.95
23,T0__Death__61920,s2 1:100,3132,,0,0,0
23,T0__Death__61920,s3 1:100,3103,,0,0,0
23,T0__Death__61920,s4 1:100,3133,,0,0,0
23,T0__Death__61920,g1 1:10,3135,6/19/2020 4:14:43 PM,257,5125,45.3
23,T0__Death__61920,g2 1:10,3098,6/19/2020 4:15:53 PM,367,7333,40
23,T0__Death__61920,g3 1:10,3099,6/19/2020 4:18:34 PM,276,5516,58.5
23,T0__Death__61920,g4 1:10,3100,6/19/2020 4:17:02 PM,471,9402,70
23,T0__Death__61920,g1,3134,,0,0,0
23,T0__Death__61920,g2,3139,,0,0,0
23,T0__Death__61920,s1 1:10,3140,6/19/2020 4:19:49 PM,217,4332,6.25
23,T0__Death__61920,s1,3143,6/19/2020 4:21:01 PM,2188,43455,55.5
23,T0__Death__61920,s2,3144,6/19/2020 4:22:22 PM,3415,67616,61.7
23,T0__Death__61920,s2 1:2,3102,6/19/2020 4:25:00 PM,1903,37829,46.2
23,T0__Death__61920,s3 1:2,3141,6/19/2020 4:26:16 PM,906,18064,29
23,T0__Death__61920,s4 1:2,3142,6/19/2020 4:27:31 PM,1431,28504,33.9
23,T0__Death__61920,g5 1:10,3145,6/19/2020 4:28:47 PM,284,5683,39.9
23,T0__Death__61920,g6 1:10,3146,6/19/2020 4:29:58 PM,237,4739,48.7
23,T0__Death__61920,s5,3147,6/19/2020 4:34:47 PM,2600,51554,70.3
23,T0__Death__61920,s6,3148,,0,0,0
23,T0__Death__61920,s5 1:2,3149,6/19/2020 4:36:13 PM,1327,26412,40.7
23,T0__Death__61920,s6 1:2,3150,6/19/2020 4:37:23 PM,1285,25584,33.7
23,T0__Death__61920,1%buffered GTA stained,3151,6/24/2020 3:57:33 PM,7.7,154,0.25
23,T0__Death__61920,DG fixed and stained 1:100,3152,6/24/2020 4:08:18 PM,1519,30240,710
23,T0__Death__61920,DS fixed and stained 1:20,3153,6/24/2020 4:13:02 PM,1456,28971,160
23,T0__Death__61920,GTA,3154,6/24/2020 4:03:22 PM,336,6702,95.5
24,T1______7_1_20,unstained_GTA,3155,7/1/2020 3:56:51 PM,2.75,53,0.1
24,T1______7_1_20,n4,3159,7/1/2020 3:58:06 PM,110,2192,0.25
24,T1______7_1_20,n3,3158,7/1/2020 3:59:15 PM,148,2951,0.25
24,T1______7_1_20,n2,3157,7/1/2020 4:00:30 PM,285,5686,1.15
24,T1______7_1_20,n1,3156,7/1/2020 4:01:52 PM,477,18341,0.441
24,T1______7_1_20,36 1:10,3164,7/1/2020 4:03:54 PM,988,19705,3.6
24,T1______7_1_20,36 1:10(1),3193,7/1/2020 4:05:23 PM,1030,40287,4
24,T1______7_1_20,36,3163,7/1/2020 4:07:18 PM,10348,199341,37.7
24,T1______7_1_20,unstained_GTA(1),3192,7/1/2020 4:08:29 PM,226,4512,0.6
24,T1______7_1_20,35 1:10,3166,7/1/2020 4:09:38 PM,287,5721,4.5
