New_Sample_ID	SourceOrEcosystem
EnvG_T2R1	Environmental Grass Litter
EnvG_T2R2	Environmental Grass Litter
EnvG_T2R3	Environmental Grass Litter
EnvG_T2R4	Environmental Grass Litter
EnvG_T2R5	Environmental Grass Litter
EnvG_T2R6	Environmental Grass Litter
EnvS_T2R1	Environmental Shrub Litter
EnvS_T2R2	Environmental Shrub Litter
EnvS_T2R3	Environmental Shrub Litter
EnvS_T2R4	Environmental Shrub Litter
EnvS_T2R5	Environmental Shrub Litter
EnvS_T2R6	Environmental Shrub Litter
LOT1A3	Glass Slide_Shrubland
LOT1A6	Glass Slide_Grassland
LOT1A7	Glass Slide_Grassland
LOT1A8	Glass Slide_Grassland
LOT1B2	Glass Slide_Shrubland
LOT1B4	Glass Slide_Shrubland
LOT1B5	Glass Slide_Grassland
LOT1B6	Glass Slide_Grassland
LOT1C1	Glass Slide_Shrubland
LOT1C2	Glass Slide_Shrubland
LOT1C4	Glass Slide_Shrubland
LOT1C5	Glass Slide_Grassland
LOT1C6	Glass Slide_Grassland
LOT1C8	Glass Slide_Grassland
LOT2A1	Glass Slide_Shrubland
LOT2A2	Glass Slide_Shrubland
LOT2A3	Glass Slide_Shrubland
LOT2A4	Glass Slide_Shrubland
LOT2A5	Glass Slide_Grassland
LOT2A6	Glass Slide_Grassland
LOT2A7	Glass Slide_Grassland
LOT2A8	Glass Slide_Grassland
LOT2B2	Glass Slide_Shrubland
LOT2B3	Glass Slide_Shrubland
LOT2B5	Glass Slide_Grassland
LOT2B6	Glass Slide_Grassland
LOT2B8	Glass Slide_Grassland
LOT2C1	Glass Slide_Shrubland
LOT2C2	Glass Slide_Shrubland
LOT2C3	Glass Slide_Shrubland
LOT2C5	Glass Slide_Grassland
LOT2C6	Glass Slide_Grassland
LOT2C7	Glass Slide_Grassland
LOT2C8	Glass Slide_Grassland
LOT3A1	Glass Slide_Shrubland
LOT3A2	Glass Slide_Shrubland
LOT3A3	Glass Slide_Shrubland
LOT3A4	Glass Slide_Shrubland
LOT3A5	Glass Slide_Grassland
LOT3A6	Glass Slide_Grassland
LOT3A7	Glass Slide_Grassland
LOT3A8	Glass Slide_Grassland
LOT3B1	Glass Slide_Shrubland
LOT3B2	Glass Slide_Shrubland
LOT3B3	Glass Slide_Shrubland
LOT3B4	Glass Slide_Shrubland
LOT3B5	Glass Slide_Grassland
LOT3B6	Glass Slide_Grassland
LOT3B7	Glass Slide_Grassland
LOT3B8	Glass Slide_Grassland
LOT3C1	Glass Slide_Shrubland
LOT3C2	Glass Slide_Shrubland
LOT3C3	Glass Slide_Shrubland
LOT3C4	Glass Slide_Shrubland
LOT3C5	Glass Slide_Grassland
LOT3C6	Glass Slide_Grassland
LOT3C7	Glass Slide_Grassland
LOT3C8	Glass Slide_Grassland
LOT4A3	Glass Slide_Shrubland
LOT4A4	Glass Slide_Shrubland
LOT4A5	Glass Slide_Grassland
LOT4A7	Glass Slide_Grassland
LOT4B1	Glass Slide_Shrubland
LOT4B3	Glass Slide_Shrubland
LOT4B4	Glass Slide_Shrubland
LOT4B5	Glass Slide_Grassland
LOT4B6	Glass Slide_Grassland
LOT4B7	Glass Slide_Grassland
LOT4C1	Glass Slide_Shrubland
LOT4C2	Glass Slide_Shrubland
LOT4C3	Glass Slide_Shrubland
LOT4C4	Glass Slide_Shrubland
LOT4C5	Glass Slide_Grassland
LOT4C7	Glass Slide_Grassland
LOT4C8	Glass Slide_Grassland
Soil_T2R1	Soil
Soil_T2R10	Soil
Soil_T2R11	Soil
Soil_T2R12	Soil
Soil_T2R2	Soil
Soil_T2R3	Soil
Soil_T2R4	Soil
Soil_T2R5	Soil
Soil_T2R6	Soil
Soil_T2R7	Soil
Soil_T2R8	Soil
Soil_T2R9	Soil
