OTU	stat	p	Ecosystem	TimePoint	Ranking
3cc206a0424f7c33f75fe152cd42d757	1	0.005	Grassland	1	1
61322ac57eeeafda8df586777df7b870	0.943	0.005	Grassland	1	2
a2b665f720bfa33cacfc62ce3b163c71	0.943	0.005	Grassland	1	3
18b1f3d102874f231e3168f058eca5bb	0.943	0.005	Grassland	1	4
1a93e1f29b1cc493e43c0a6cf22354bc	0.94	0.005	Grassland	1	5
60d8aac672665427398d03a74c9374ef	0.937	0.005	Grassland	1	6
fd3bb0f93dc5043995cc6df1698a570c	0.919	0.005	Grassland	1	7
986b7f7db09c1c76977372c6ea1140af	0.906	0.005	Grassland	1	8
adffc920dd86ce72a6385dd2063ee499	0.904	0.005	Grassland	1	9
2c78fae8ee69dfb6a4e7fec671b500d8	0.902	0.005	Grassland	1	10
6b550ad3889766092ea1d7be05293622	0.897	0.005	Grassland	1	11
0cee033b1199a228e7a05e5e6f2816f7	0.892	0.005	Grassland	1	12
56d6a71c94321f4bacd933db47567133	0.882	0.005	Grassland	1	13
8d904cbfb1324fc400ddb0bd54ac98e2	0.882	0.005	Grassland	1	14
eb61d9872f198693a8c781985a0c0be4	0.882	0.005	Grassland	1	15
448d5f533e646e1f70bed291c8896dcc	0.882	0.005	Grassland	1	16
00d9013b12e9e1996b91b40860da0946	0.87	0.005	Grassland	1	17
10e246b63ef506bd782f33ebeb66eeab	0.868	0.005	Grassland	1	18
10ff0b62f67e9db312928662977f5413	0.848	0.005	Grassland	1	19
dba6ff41ca6ac3dd820c1a20c67d1b18	0.847	0.005	Grassland	1	20
761176318dc6ff2d907988c89bf64b3d	0.837	0.005	Grassland	1	21
e737f85152498d01ee5b280b0c609a1d	0.832	0.005	Grassland	1	22
a86bfb902cbf20e057605c00d196260f	0.816	0.005	Grassland	1	23
a6dcfce2ef3a967409c3d1f1eb7b61e0	0.816	0.005	Grassland	1	24
a1426cb2e683969e4ed70ba40f3ec4a5	0.815	0.01	Grassland	1	25
53f8fa058e44195a8cf188f127237821	0.813	0.005	Grassland	1	26
4e72a1340652e9acfd17f3b58ee0946b	0.81	0.005	Grassland	1	27
d3c51e8d1de4793dfe54f3906639893b	0.81	0.01	Grassland	1	28
556ad04145a90d2ffeafd03c0feaae78	0.806	0.005	Grassland	1	29
6d360c9c285bc318a1e9cbfd2a85a057	0.922	0.005	Grassland	not_1	1
ec3d78df700e0518a81ed0843c9d1d1c	0.842	0.01	Grassland	not_1	2
3a61b3e1ee7a53548fa1eb416917ab5b	0.834	0.005	Grassland	not_1	3
86b95cd30bf8e0805cc8d1a75cb8d141	0.832	0.05	Grassland	not_1	4
8bff814a8310c017d578e346e02b64b4	0.832	0.005	Grassland	not_1	5
347b17563a35eda7d903ea07a289fce2	0.831	0.005	Grassland	not_1	6
0ec291fa8414302b18ab7bfb89c33209	0.83	0.005	Grassland	not_1	7
00735e82b47219838a8213f40796c504	0.83	0.005	Grassland	not_1	8
6473642f64396126d82d9983348c0214	0.829	0.005	Grassland	not_1	9
39c8768585bcca4de850af4bbf885151	0.818	0.015	Grassland	not_1	10
07c9441ebcf931a1f7e6f3bab8a3be23	0.817	0.015	Grassland	not_1	11
9f50e64e0e8f4064c2f7a668166c53f3	0.806	0.025	Grassland	not_1	12
6b550ad3889766092ea1d7be05293622	0.885	0.005	Shrubland	1	1
c165a8ce7eb765d0569ecae550ed6131	0.866	0.005	Shrubland	1	2
50dc6d9f91a205d6bc53a59785b73133	0.815	0.035	Shrubland	1	3
bf91fbe02982d2cf3c280cd04c1e4f87	0.947	0.005	Shrubland	not_1	1
ec3d78df700e0518a81ed0843c9d1d1c	0.911	0.005	Shrubland	not_1	2
6d360c9c285bc318a1e9cbfd2a85a057	0.887	0.005	Shrubland	not_1	3
0ec291fa8414302b18ab7bfb89c33209	0.878	0.005	Shrubland	not_1	4
3a61b3e1ee7a53548fa1eb416917ab5b	0.869	0.005	Shrubland	not_1	5
347b17563a35eda7d903ea07a289fce2	0.853	0.005	Shrubland	not_1	6
2f6c2b58eb612ebcf4c07fb555b16de9	0.846	0.01	Shrubland	not_1	7
9f50e64e0e8f4064c2f7a668166c53f3	0.845	0.005	Shrubland	not_1	8
8bff814a8310c017d578e346e02b64b4	0.844	0.005	Shrubland	not_1	9
00735e82b47219838a8213f40796c504	0.84	0.005	Shrubland	not_1	10
07c9441ebcf931a1f7e6f3bab8a3be23	0.835	0.005	Shrubland	not_1	11
56651b47952ee08bb1e8258b0ebf19a4	0.834	0.025	Shrubland	not_1	12
19fe9cc4805111f25926d2be1882f6b5	0.833	0.02	Shrubland	not_1	13
6011c7ca88b2973988b09f34f6c8c66e	0.826	0.03	Shrubland	not_1	14
6473642f64396126d82d9983348c0214	0.823	0.005	Shrubland	not_1	15
069b620d8dbb932e02f72deeb5b4ca6d	0.817	0.025	Shrubland	not_1	16
750ffb89094b4f33ce5f8ff6a4a9734e	0.803	0.01	Shrubland	not_1	17
b4de2cd21ee0083acacaa2f70a3aadf2	0.803	0.01	Shrubland	not_1	18
00d9013b12e9e1996b91b40860da0946	0.801	0.045	Shrubland	not_1	19
