Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count,Dilution,Starting_Volume_uL,Mid_Volume_uL,End_Volume_uL,number_cells_on_glass_slide,Random_#_Flow,mean_neg,number_cells_on_glass_slide_cleaned
23,T0__Death__61920,g1 1:10,3135,6/19/2020 4:14:43 PM,257,5125,45.3,10,2000,1500,1667,1006867.9999999999,g1,2107.5670000000005,1004760.4329999998
23,T0__Death__61920,g2 1:10,3098,6/19/2020 4:15:53 PM,367,7333,40,10,2000,1500,1667,889066.6666666666,g2,2107.5670000000005,886959.0996666666
23,T0__Death__61920,g3 1:10,3099,6/19/2020 4:18:34 PM,276,5516,58.5,10,2000,1500,1667,1300260,g3,2107.5670000000005,1298152.433
23,T0__Death__61920,g4 1:10,3100,6/19/2020 4:17:02 PM,471,9402,70,10,2000,1500,1667,1555866.6666666665,g4,2107.5670000000005,1553759.0996666665
23,T0__Death__61920,s1,3143,6/19/2020 4:21:01 PM,2188,43455,55.5,1,2000,1500,1667,123357.99999999999,s1,2107.5670000000005,121250.43299999999
23,T0__Death__61920,s2 1:2,3102,6/19/2020 4:25:00 PM,1903,37829,46.2,2,2000,1500,1667,205374.4,s2,2107.5670000000005,203266.83299999998
23,T0__Death__61920,s3 1:2,3141,6/19/2020 4:26:16 PM,906,18064,29,2,2000,1500,1667,128914.66666666667,s3,2107.5670000000005,126807.09966666668
23,T0__Death__61920,s4 1:2,3142,6/19/2020 4:27:31 PM,1431,28504,33.9,2,2000,1500,1667,150696.8,s4,2107.5670000000005,148589.23299999998
23,T0__Death__61920,g5 1:10,3145,6/19/2020 4:28:47 PM,284,5683,39.9,10,2000,1500,1667,886843.9999999999,g5,2107.5670000000005,884736.4329999998
23,T0__Death__61920,g6 1:10,3146,6/19/2020 4:29:58 PM,237,4739,48.7,10,2000,1500,1667,1082438.6666666667,g6,2107.5670000000005,1080331.0996666667
23,T0__Death__61920,s5 1:2,3149,6/19/2020 4:36:13 PM,1327,26412,40.7,2,2000,1500,1667,180925.06666666668,s5,2107.5670000000005,178817.49966666667
23,T0__Death__61920,s6 1:2,3150,6/19/2020 4:37:23 PM,1285,25584,33.7,2,2000,1500,1667,149807.73333333334,s6,2107.5670000000005,147700.16633333333
24,T1______7_1_20,36 1:10(1),3193,7/1/2020 4:05:23 PM,1030,40287,4,10,2000,1500,1667,88906.66666666667,36,2083.75,86822.91666666667
24,T1______7_1_20,35,3165,7/1/2020 4:10:47 PM,1522,30313,35.1,1,2000,1500,1667,78015.6,35,2083.75,75931.85
24,T1______7_1_20,34 1:10(2),3218,7/1/2020 4:13:50 PM,635,40014,5.08,10,2000,1500,1667,112911.46666666666,34,2083.75,110827.71666666666
24,T1______7_1_20,33,3169,7/1/2020 4:17:10 PM,2003,39794,29.4,1,2000,1500,1667,65346.39999999999,33,2083.75,63262.64999999999
24,T1______7_1_20,32 1:2,3219,7/1/2020 4:21:20 PM,2010,39920,36.1,2,2000,1500,1667,160476.53333333335,32,2083.75,158392.78333333335
24,T1______7_1_20,31 1:2,3220,7/1/2020 4:23:38 PM,1528,30415,47.2,2,2000,1500,1667,209819.73333333334,31,2083.75,207735.98333333334
24,T1______7_1_20,30 1:2,3221,7/1/2020 4:26:06 PM,2455,48695,40.4,2,2000,1500,1667,179591.46666666667,30,2083.75,177507.71666666667
24,T1______7_1_20,29 1:5(1),3223,7/1/2020 4:30:52 PM,1138,44584,12.8,5,2000,1500,1667,142250.66666666666,29,2083.75,140166.91666666666
24,T1______7_1_20,28 1:10,3179,7/1/2020 4:32:32 PM,344,6879,26,10,2000,1500,1667,577893.3333333334,28,2083.75,575809.5833333334
24,T1______7_1_20,27 1:10,3181,7/1/2020 4:33:43 PM,965,19238,28.1,10,2000,1500,1667,624569.3333333334,27,2083.75,622485.5833333334
24,T1______7_1_20,26,3184,7/1/2020 4:36:34 PM,1297,25831,38.4,1,2000,1500,1667,85350.4,26,2083.75,83266.65
24,T1______7_1_20,25 1:2,3224,7/1/2020 4:39:01 PM,1338,26635,20.9,2,2000,1500,1667,92907.46666666665,25,2083.75,90823.71666666665
24,T1______7_1_20,24 1:20,3249,7/1/2020 4:41:48 PM,682,26771,8.44,20,2000,1500,1667,375186.1333333333,24,2083.75,373102.3833333333
24,T1______7_1_20,23 1:10,3194,7/1/2020 4:43:26 PM,319,6371,37.9,10,2000,1500,1667,842390.6666666666,23,2083.75,840306.9166666666
24,T1______7_1_20,22 1:10,3196,7/1/2020 4:44:40 PM,990,19726,26.5,10,2000,1500,1667,589006.6666666666,22,2083.75,586922.9166666666
24,T1______7_1_20,21 1:5(1),3251,7/1/2020 4:49:21 PM,1402,83789,6.8,5,2000,1500,1667,75570.66666666667,21,2083.75,73486.91666666667
24,T1______7_1_20,20 1:20,3252,7/1/2020 4:53:00 PM,1564,31135,24.7,20,2000,1500,1667,1097997.3333333333,20,2083.75,1095913.5833333333
24,T1______7_1_20,19 1:50(1),3254,7/1/2020 4:57:19 PM,956,57215,2.13,50,2000,1500,1667,236714,19,2083.75,234630.25
24,T1______7_1_20,18 1:10(2),3256,7/1/2020 5:01:30 PM,525,20601,5.49,10,2000,1500,1667,122024.4,18,2083.75,119940.65
24,T1______7_1_20,17 1:10,3206,7/1/2020 5:03:08 PM,732,14602,14.6,10,2000,1500,1667,324509.3333333333,17,2083.75,322425.5833333333
24,T1______7_1_20,16,3209,7/1/2020 5:05:28 PM,724,14457,1.15,1,2000,1500,1667,2556.0666666666666,16,2083.75,472.3166666666666
24,T1______7_1_20,15 1:5,3260,7/1/2020 5:10:19 PM,1037,20664,15.4,5,2000,1500,1667,171145.3333333333,15,2083.75,169061.5833333333
24,T1______7_1_20,14 1:10(1),3261,7/1/2020 5:11:54 PM,537,32150,5.3,10,2000,1500,1667,117801.33333333333,14,2083.75,115717.58333333333
24,T1______7_1_20,13 1:5,3263,7/1/2020 5:16:28 PM,721,14387,8.85,5,2000,1500,1667,98353,13,2083.75,96269.25
24,T1______7_1_20,12 1:5,3264,7/1/2020 5:18:47 PM,814,16230,6.55,5,2000,1500,1667,72792.33333333333,12,2083.75,70708.58333333333
24,T1______7_1_20,11 1:10,3225,7/1/2020 5:19:55 PM,220,4398,17.7,10,2000,1500,1667,393412,11,2083.75,391328.25
24,T1______7_1_20,10 1:10,3227,7/1/2020 5:21:12 PM,287,5723,34.6,10,2000,1500,1667,769042.6666666666,10,2083.75,766958.9166666666
24,T1______7_1_20,9 1:5,3265,7/1/2020 5:24:11 PM,1195,23821,9.9,5,2000,1500,1667,110021.99999999999,9,2083.75,107938.24999999999
24,T1______7_1_20,8 1:10,3231,7/1/2020 5:25:21 PM,603,12032,9.75,10,2000,1500,1667,216709.99999999997,8,2083.75,214626.24999999997
24,T1______7_1_20,7 1:2,3267,7/1/2020 5:30:05 PM,738,14720,0.8,2,2000,1500,1667,3556.2666666666673,7,2083.75,1472.5166666666673
24,T1______7_1_20,6 1:5,3268,7/1/2020 5:32:34 PM,507,10126,13.4,5,2000,1500,1667,148918.66666666666,6,2083.75,146834.91666666666
24,T1______7_1_20,5,3238,7/1/2020 5:35:45 PM,593,11840,0.4,1,2000,1500,1667,889.0666666666668,5,2083.75,-1194.6833333333332
24,T1______7_1_20,4 1:5,3270,7/1/2020 5:38:06 PM,586,11706,10.3,5,2000,1500,1667,114467.33333333333,4,2083.75,112383.58333333333
24,T1______7_1_20,3 1:10,3241,7/1/2020 5:39:16 PM,1247,24844,13.8,10,2000,1500,1667,306728,3,2083.75,304644.25
