"EnvG_T2R1"	"EnvG_T2R2"	"EnvG_T2R3"	"EnvG_T2R4"	"EnvG_T2R5"	"EnvG_T2R6"	"EnvS_T2R1"	"EnvS_T2R2"	"EnvS_T2R3"	"EnvS_T2R4"	"EnvS_T2R5"	"EnvS_T2R6"	"GCT2B5"	"GCT2C7"	"GOT1A1"	"GOT1A8"	"GOT1B1"	"GOT1B3"	"GOT2A3"	"GOT2B1"	"GOT2C2"	"GOT2C6"	"GOT2C8"	"GOT4A1"	"GOT4A2"	"GOT4A6"	"GOT4A7"	"GOT4B1"	"GOT4B4"	"GOT4B5"	"GOT4B6"	"GOT4B7"	"GOT4C1"	"GOT4C2"	"GOT4C6"	"PCR+_10_10_20"	"PCR+_10_11_20"	"SCT4B3"	"SOT2A3"	"SOT2A5"	"SOT2A7"	"SOT2A8_dup_new_protocol"	"SOT2B8"	"SOT2C6"	"SOT4A6"	"SOT4A7"	"SOT4B5"	"SOT4C6"
"EnvG_T2R1"	0	0.648640806038861	0.502093904205172	0.700281422397242	0.52382878352298	0.598617067879954	0.826152739345431	0.580072531021544	0.825742270228955	0.630868385658696	0.570058429977101	0.815729960852911	0.829812936648638	0.799185920692366	0.941711099037374	0.872996329477185	0.957073862705332	0.981535863671799	0.756523343800544	0.99153849564733	0.8781609102681	0.86431537126956	0.779059679162825	0.974448533935737	0.804301303842569	0.88669358171816	0.87277708235371	0.943137471534173	0.814197439209289	0.777717693163171	0.696392635351908	0.842700953443812	0.738281612331221	0.713560712492831	0.841411669794578	1	1	0.931483821832754	0.683574285409003	0.834062530834574	0.973403284916909	0.902344179620014	0.893292021503437	0.902761658233187	0.89863169836587	0.905399903737215	0.901865370034684	0.829079136639156
"EnvG_T2R2"	0.648640806038861	0	0.605877476185176	0.582768062082123	0.596720664129799	0.637592410366921	0.81029233971097	0.765698353953631	0.900840242646788	0.671566901262963	0.694427401553011	0.87447389483976	0.81247766295767	0.709227553979328	0.918762078042563	0.867719117959572	0.943956703896771	0.980994310841147	0.693158984223401	0.989665919160387	0.810082668634958	0.874434755654563	0.738341781403908	0.968211336459234	0.812209139174606	0.872613904277079	0.925983422136971	0.934091096620831	0.769022773686555	0.767324086108503	0.708112548743891	0.778641011283039	0.696296057117529	0.701043971030528	0.816484629461995	1	1	0.951061909455715	0.810732784036778	0.817134310479874	0.979337606927596	0.906092755574429	0.885269255026602	0.914148398208151	0.915654910353789	0.929390400857846	0.866367879665291	0.822834373948154
"EnvG_T2R3"	0.502093904205172	0.605877476185176	0	0.573700165622426	0.532454453912831	0.629739866727411	0.846318825629859	0.68975406944244	0.874374820493769	0.66909993752315	0.596443227748464	0.778338844430222	0.741440533423078	0.656434835002588	0.917893549431788	0.792169458251678	0.940097482059862	0.97282971473147	0.613991454455439	0.987541196912745	0.807350615699206	0.769478617893983	0.631610147724848	0.964884731052782	0.782787173304201	0.815496753959068	0.868083625176536	0.921084635146854	0.719455304602399	0.641226618043754	0.535732946932751	0.729871347657943	0.621383492221173	0.588993430672296	0.758868085629565	1	1	0.944823013154779	0.670805884378839	0.735478281393269	0.982748891970982	0.898250185402262	0.876220179731566	0.868986703707831	0.947209935019653	0.906403661442228	0.86280261114099	0.78152928820387
"EnvG_T2R4"	0.700281422397242	0.582768062082123	0.573700165622426	0	0.662129138022972	0.71585750748123	0.87374052229612	0.816897180511645	0.925562206471767	0.708222366187329	0.725329924550249	0.870643122122646	0.694964089577363	0.614984861216768	0.872752132579702	0.750070378751126	0.929670011664982	0.96105487863345	0.579359204827835	0.970802587391473	0.645168579723191	0.796157003481972	0.669685715559575	0.939154817523128	0.801971958545627	0.784779621227182	0.897367617828124	0.860739504381723	0.694823721981254	0.758585302173955	0.659811246839344	0.671046549173344	0.659837058165042	0.665494734488933	0.823366247865373	1	1	0.94912618603504	0.798654989126438	0.717805214798176	0.991706009744995	0.902923441416993	0.877648562573266	0.882660462626573	0.952486701442835	0.936836307261074	0.851512852345598	0.775631929506398
"EnvG_T2R5"	0.52382878352298	0.596720664129799	0.532454453912831	0.662129138022972	0	0.529276485172592	0.820409614209959	0.615287789228759	0.837536218232917	0.595982231951276	0.602431234787946	0.813187113391183	0.818229569175055	0.754907803069003	0.933626075841147	0.847152766843961	0.950080282780436	0.980042375241315	0.720819574212906	0.990851121656379	0.839805148376283	0.845116171483318	0.76630076884338	0.970793378711034	0.790637806619792	0.857771776496034	0.862664128000963	0.933075770603001	0.808183618780255	0.769781070490108	0.717445812117921	0.804097108222441	0.753661546569409	0.70213497451771	0.843994386230097	1	1	0.9419907183551	0.759372208642756	0.806855590855725	0.977934977485927	0.905020744443195	0.887651850288177	0.897891809523314	0.899651245445133	0.919030713289674	0.886631016336672	0.816247133583035
"EnvG_T2R6"	0.598617067879954	0.637592410366921	0.629739866727411	0.71585750748123	0.529276485172592	0	0.824881193850785	0.659423538575855	0.820625380263309	0.630323080276796	0.678556721519021	0.84713035245512	0.84571117561319	0.798070587152369	0.941064973672442	0.86560195746332	0.957839477751109	0.981049956704834	0.772599267475001	0.991253008551595	0.865103064500582	0.866428361357971	0.782192140336795	0.976014099029283	0.816119272309108	0.884450712321869	0.883406048617318	0.944630658710484	0.829453335454552	0.798739429146554	0.754252720464726	0.835384507753217	0.798062004599585	0.76169463610445	0.870269372641625	1	1	0.947441290521068	0.79327181052762	0.805974453091214	0.948525327826908	0.911069667043323	0.879426006761093	0.89962779202126	0.883304740671892	0.907210090484614	0.879289128466073	0.817865892824499
"EnvS_T2R1"	0.826152739345431	0.81029233971097	0.846318825629859	0.87374052229612	0.820409614209959	0.824881193850785	0	0.820139742585861	0.87443248858259	0.793098696658481	0.804899364934219	0.841893931296617	0.889437400086828	0.885223838779534	0.938432907628719	0.903162268204632	0.930543470127767	0.974150841080791	0.885842336748614	1	0.913494315111499	0.902826923072478	0.871801457774882	0.954774846949853	0.8272298977199	0.955653775065478	0.936631684066613	0.960179883192167	0.889036558695316	0.898075957532125	0.874898479684302	0.920620231223037	0.908845355000721	0.895810375188585	0.919247705801522	1	1	0.907315340696676	0.88237570821876	0.858858299453166	0.966880023629135	0.886806018225768	0.89520937809533	0.908589812053312	0.894235120637395	0.919236144161202	0.886819440501218	0.910255763199444
"EnvS_T2R2"	0.580072531021544	0.765698353953631	0.68975406944244	0.816897180511645	0.615287789228759	0.659423538575855	0.820139742585861	0	0.751374295605012	0.593765060739239	0.618325584366903	0.803234347145167	0.887030091351885	0.878011896775652	0.948156788605965	0.913310776429196	0.965709667434742	0.983787141790192	0.831666379330222	0.99246942987335	0.909068099717203	0.914745268490622	0.846659614649527	0.971529189987607	0.836614682803262	0.917004615619438	0.876491768005042	0.951662747304905	0.874891025505267	0.853331685172093	0.813909845657613	0.890289757393507	0.834730920749797	0.791431515811386	0.897719853469627	1	1	0.936642344912773	0.71996847165152	0.872028200911121	0.9607515618774	0.923397838139184	0.905139423622198	0.929386741553016	0.867460747139468	0.917295889795525	0.930830176403228	0.832233960518913
"EnvS_T2R3"	0.825742270228955	0.900840242646788	0.874374820493769	0.925562206471767	0.837536218232917	0.820625380263309	0.87443248858259	0.751374295605012	0	0.740828333526812	0.768884280085068	0.874074064288478	0.937446849579934	0.929164966153425	0.970535487546075	0.945604979316602	0.972307286065407	0.983877307573324	0.908499527623502	0.99327637419287	0.957541420513477	0.939870368257055	0.913870116331983	0.977911159897266	0.924935704966923	0.951659968202896	0.931934340517393	0.971916594507245	0.937394549655843	0.915161136987773	0.897604787394568	0.941327232854651	0.921468375598158	0.903761145807248	0.940101766296953	1	1	0.929632530266814	0.878279664260604	0.913417728547305	0.942493460349299	0.918864901421751	0.909639814789916	0.948417413599332	0.882722192941492	0.928864733874902	0.941165419301638	0.871465844762192
"EnvS_T2R4"	0.630868385658696	0.671566901262963	0.66909993752315	0.708222366187329	0.595982231951276	0.630323080276796	0.793098696658481	0.593765060739239	0.740828333526812	0	0.60436359457896	0.804451286501971	0.835137171020299	0.812655194283031	0.928254247024874	0.877159425037443	0.946933332290098	0.977329679831878	0.759254525609996	0.991422779713856	0.868468452739703	0.867642063070493	0.792324304791199	0.956765411417182	0.798037912237156	0.891772880308537	0.877255847123338	0.940706514973772	0.815524492235139	0.807256020780691	0.766257258351351	0.837524971627907	0.784179826941262	0.759673048886074	0.87650262601397	1	1	0.927643102930413	0.78840440271023	0.81958707793009	0.966157238323619	0.905278426046665	0.869445165273534	0.90550237065332	0.861097106546945	0.907014278419978	0.893315498370612	0.751274186935171
"EnvS_T2R5"	0.570058429977101	0.694427401553011	0.596443227748464	0.725329924550249	0.602431234787946	0.678556721519021	0.804899364934219	0.618325584366903	0.768884280085068	0.60436359457896	0	0.80334663394325	0.822355396801581	0.797619970505892	0.934037621113368	0.88371487939811	0.956776805954286	0.980862722375907	0.742520673440007	0.990180646852392	0.885080020732402	0.873427345843963	0.767720585083177	0.966135843689994	0.834215523319641	0.891329196277903	0.879125662510519	0.936942067282076	0.839077074697562	0.779294018781024	0.723722312945046	0.852976164173231	0.768898386880758	0.718439872931911	0.865953929973141	0.996398183871617	0.996456558932323	0.936996590270562	0.682530868489298	0.844904696777251	0.974566415163158	0.910849041717945	0.900433920868304	0.928666236167433	0.924514652096587	0.930111464651545	0.9203468027359	0.824567414087887
"EnvS_T2R6"	0.815729960852911	0.87447389483976	0.778338844430222	0.870643122122646	0.813187113391183	0.84713035245512	0.841893931296617	0.803234347145167	0.874074064288478	0.804451286501971	0.80334663394325	0	0.913270719905937	0.88609179993404	0.946099002589492	0.854112877687359	0.968292164738201	0.968271911416519	0.837816120673911	0.98530264159417	0.945109512855437	0.848075689618188	0.834910961924599	0.978961141138074	0.829443441143761	0.911349453078363	0.91922133730801	0.942202477653918	0.856702078433947	0.846730468391699	0.856468871191396	0.849953841077168	0.871839225459092	0.832380826085381	0.906292312800022	1	1	0.940297966088976	0.876957004523076	0.849652413399648	0.9936289345925	0.938625004806351	0.954621704628408	0.929465088345281	0.906875691369344	0.928279664114072	0.942222480717565	0.889458827126879
"GCT2B5"	0.829812936648638	0.81247766295767	0.741440533423078	0.694964089577363	0.818229569175055	0.84571117561319	0.889437400086828	0.887030091351885	0.937446849579934	0.835137171020299	0.822355396801581	0.913270719905937	0	0.630881074895912	0.883509748445059	0.578230673337663	0.871851467302747	0.893755576849458	0.668003741052563	0.94521783437124	0.759937249989214	0.712175927683126	0.685008933525944	0.900404916303445	0.794440631876004	0.801056250510207	0.870022731378889	0.82252262025884	0.720053205978078	0.76516794819999	0.698845824689077	0.695959809987696	0.779727377745941	0.686806902188611	0.762798204766189	1	1	0.959355623405675	0.83537015562195	0.764011355241472	0.992306183924137	0.903792393615582	0.899737329356082	0.868652891022289	0.968427694446975	0.931597580499174	0.885614103148606	0.853948876569541
"GCT2C7"	0.799185920692366	0.709227553979328	0.656434835002588	0.614984861216768	0.754907803069003	0.798070587152369	0.885223838779534	0.878011896775652	0.929164966153425	0.812655194283031	0.797619970505892	0.88609179993404	0.630881074895912	0	0.840108514705557	0.724117293384959	0.879579712761189	0.915404859416242	0.465624802259408	0.959049999402077	0.721531940922273	0.714180992038901	0.585432041049283	0.948950128425785	0.80769912422993	0.782302149407617	0.884291434900729	0.83539218353032	0.641549541215695	0.664409362179238	0.609993161049272	0.652400335749122	0.661467494002119	0.672906431628229	0.712612637650507	1	0.96212268411229	0.963048900889246	0.803719694171072	0.680249530147399	0.992959863633436	0.898202541592044	0.890676719104116	0.897856746262796	0.947978244864257	0.9250963520338	0.883744545825933	0.832159669527359
"GOT1A1"	0.941711099037374	0.918762078042563	0.917893549431788	0.872752132579702	0.933626075841147	0.941064973672442	0.938432907628719	0.948156788605965	0.970535487546075	0.928254247024874	0.934037621113368	0.946099002589492	0.883509748445059	0.840108514705557	0	0.87409497604098	0.898269805775797	0.947875861084443	0.874352105668991	0.982720019105702	0.8033728017382	0.91132616252866	0.907986561098386	0.781745279819396	0.906588154639474	0.924491636398557	0.968824062919511	0.850976696289244	0.852125080653568	0.926772395620958	0.900626434350412	0.861403335515603	0.923303761841801	0.916809901368679	0.92691749612589	1	0.964187955492789	0.985649411020207	0.938699128050401	0.884305656838516	0.992248460091837	0.957926639690789	0.949424344671019	0.949632829114711	0.979818125839537	0.972005301694215	0.95786134731176	0.933903553848339
