"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.337010682941215	0.983632493891228	0.983632493891227	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	2.1793663065612e-13	0.337010686775477	0.337010682941212	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228	0.983632493891228
"A2"	0.337010682941215	0	0.801103204882364	0.801103204882365	1	1	1	1	0.33701068294124	0.350000003003099	0.150000000000006	1	1	1	1	1	0.801103204882365	0.535907478058851	1	1	1	1	1	1
"A3"	0.983632493891228	0.801103204882364	0	1.25122595661178e-13	0.983632493890935	0.983632493890935	0.983632493890935	0.983632493890935	0.98363249389101	0.337010686775477	1	0.983632493890935	0.983632493890935	0.983632493890935	0.983632493890935	0.983632493890935	2.0683548461204e-13	0.983632493890935	0.983632493890935	0.983632493890935	0.983632493890935	0.983632493890935	0.983632493890935	0.983632493890935
"A4"	0.983632493891227	0.801103204882365	1.25122595661178e-13	0	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106	0.337010686775477	1	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106	8.1712888950862e-14	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106	0.98363249389106
"A5"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"A6"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"A7"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"A8"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"B1"	2.1793663065612e-13	0.33701068294124	0.98363249389101	0.98363249389106	0.98363249389101	0.98363249389101	0.98363249389101	0.98363249389101	0	0.337010686775477	0.337010682941246	0.98363249389101	0.98363249389101	0.98363249389101	0.98363249389101	0.98363249389101	0.983632493891142	0.98363249389101	0.98363249389101	0.98363249389101	0.98363249389101	0.98363249389101	0.98363249389101	0.98363249389101
"B2"	0.337010686775477	0.350000003003099	0.337010686775477	0.337010686775477	1	1	1	1	0.337010686775477	0	0.500000004290144	1	1	1	1	1	0.337010686775477	1	1	1	1	1	1	1
"B3"	0.337010682941212	0.150000000000006	1	1	1	1	1	1	0.337010682941246	0.500000004290144	0	1	1	1	1	1	1	0.337010694318492	1	1	1	1	1	1
"B4"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"B5"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"B6"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"B7"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"B8"	0.983632493891228	1	0.983632493890935	0.98363249389106	0	0	0	0	0.98363249389101	1	1	0	0	0	0	0	0.983632493891142	0.983632477011359	0	0	0	0	0	0
"C1"	0.983632493891228	0.801103204882365	2.0683548461204e-13	8.1712888950862e-14	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142	0.337010686775477	1	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142	0	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142	0.983632493891142
"C2"	0.983632493891228	0.535907478058851	0.983632493890935	0.98363249389106	0.983632477011359	0.983632477011359	0.983632477011359	0.983632477011359	0.98363249389101	1	0.337010694318492	0.983632477011359	0.983632477011359	0.983632477011359	0.983632477011359	0.983632477011359	0.983632493891142	0	0.983632477011359	0.983632477011359	0.983632477011359	0.983632477011359	0.983632477011359	0.983632477011359
