"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.104455916190305	0.635446086508878	0.243730471110712	0	0	0	0	0	0	0.00491025785703159	0.00491025785703159	0.00163675261901053	0.00163675261901053	0.00310982997612	0.000163675261901053
"A2"	0.24298822570725	0.8691783511234	0.56697252665025	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.983632473809885	0	0	0	0	0	0	0	0	0.00491025785703442	0.00491025785703442	0.00163675261901147	0.00163675261901147	0.0031098299761218	0.000163675261901147
"A4"	0.983632473809884	0	0	0	0	0	0	0	0	0.00491025785703482	0.00491025785703482	0.00163675261901161	0.00163675261901161	0.00310982997612205	0.000163675261901161
"A5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B1"	0	0.983632473809885	0	0	0	0	0	0	0	0.00491025785703458	0.00491025785703458	0.00163675261901153	0.00163675261901153	0.0031098299761219	0.000163675261901153
"B2"	0.983632473787051	0.983632473787051	0.274907371044161	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0	0.739704304167461	0.521621182791982	0	0	0	0	0	0	0	0	0	0	0	0
"B4"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C1"	0.983632473809889	0	0	0	0	0	0	0	0	0.00491025785703318	0.00491025785703318	0.00163675261901106	0.00163675261901106	0.00310982997612102	0.000163675261901106
"C2"	0	0	0.983632473787056	0	0	0	0	0	0	0.0049102578638833	0.0049102578638833	0.00163675262129444	0.00163675262129444	0.00310982998045943	0.000163675262129444
"C3"	0.273152223869727	0	0	0	0	0	0	0	0	0.218054332839082	0.218054332839082	0.0726847776130273	0.0726847776130273	0.138101077464752	0.00726847776130273
"C4"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
