"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.148776881752213	0.44796906511444	0.380745618555007	0	0	0	0	0	0	0.00163472478598581	0.00163472478598581	0.000544908261995269	0.000544908261995269	0.00103532569779101	5.44908261995269e-05
"A2"	0.13808398577281	0.4397435363315	0.202007469372727	0	0	0	0	0.0123837501324939	0	0.0617673169379993	0.0617673169379993	0.0205891056459998	0.0205891056459998	0.041009502657871	0.00205891056459998
"A3"	0.152101317763508	0.243821440833846	0.175003178167286	0	0	0	0	0.0977106209143324	0	0.0988419721171668	0.0988419721171668	0.0329473240390556	0.0329473240390556	0.064490117604677	0.00329473240390556
"A4"	0.146377721647833	0.174006201903819	0.130569603070369	0	0	0	0	0.136699186703957	0	0.123137125423066	0.123137125423066	0.0410457084743552	0.0410457084743552	0.0798770480317462	0.00410457084743552
"A5"	0.12770871055054	0.105831362474361	0.0935819243078861	0	0	0	0	0.157198527713197	0	0.154136781907063	0.154136781907063	0.0513789273023545	0.0513789273023545	0.0995101638049449	0.00513789273023545
"A6"	0.120177592206349	0.0553468776900884	0.0320873879623414	0	0	0.00255206490514732	0.00826452392626815	0.157576578000829	0	0.186631432013552	0.186631432013552	0.0622104773378506	0.0622104773378506	0.120090108872388	0.00622104773378506
"A7"	0.0756987179080066	0	0.00992419654035031	0	0	0.0465715837196234	0.034140556161828	0.21323880553139	0	0.18612784204164	0.18612784204164	0.0620426140138801	0.0620426140138801	0.117880966626372	0.00620426140138801
"A8"	0.176770206306365	0.068639047050591	0.0186619380817971	0	0	0.0462649170629432	0.0934392011917816	0.0903989697708438	0	0.151747716160703	0.151747716160703	0.0505825720535678	0.0505825720535678	0.0961068869017788	0.00505825720535678
"B1"	0.120162283832759	0.5639002888026	0.342453523185759	0.00284950555143701	0	0	0	0	0	0	0	0	0	0	0
"B2"	0.142796296109448	0.589536938210983	0.148226548272699	0	0	0	0	0	0	0.0358320652220612	0.0358320652220612	0.0119440217406871	0.0119440217406871	0.0226936413073054	0.00119440217406871
"B3"	0.138140862024856	0.358314787528747	0.111372282493373	0	0	0	0	0	0	0.117651620385907	0.117651620385907	0.0392172067953025	0.0392172067953025	0.0745126929110747	0.00392172067953025
"B4"	0.119477531880173	0.294173182214324	0.0676893287874102	0	0	0	0	0	0	0.155597987135428	0.155597987135428	0.0518659957118093	0.0518659957118093	0.0985453918524376	0.00518659957118093
"B5"	0.093892890054051	0.2211723962959	0.0381592540639612	0	0	0.00255979007717565	0	0	0	0.193264700852674	0.193264700852674	0.0644215669508912	0.0644215669508912	0.122400977206693	0.00644215669508912
"B6"	0.0878903917462099	0.122463752927467	0.026071142005362	0	0	0.01678996803533	0	0	0	0.224035423585689	0.224035423585689	0.0746784745285632	0.0746784745285632	0.14188910160427	0.00746784745285632
"B7"	0.0495728549472444	0	0.00630507452848598	0	0	0.0304101895785713	0	0	0	0.274113564283709	0.274113564283709	0.0913711880945698	0.0913711880945698	0.173605257379683	0.00913711880945698
"B8"	0.0789141225050517	0	0	0	0	0.0413376323590829	0	0	0	0.26392447354076	0.26392447354076	0.0879748245135865	0.0879748245135865	0.167152166575814	0.00879748245135865
"C1"	0.0945037886708234	0.345804532161455	0.374513870803733	0.072199168558787	0.0126073463535124	0	0	0	0	0.0112700327370927	0.0112700327370927	0.00375667757903089	0.00375667757903089	0.00713768740015869	0.000375667757903089
"C2"	0.0939434887892765	0.453004510151761	0.22117394953923	0	0	0	0	0	0	0.061605940749404	0.061605940749404	0.0205353135831347	0.0205353135831347	0.0390170958079559	0.00205353135831347
"C3"	0.0931018170939939	0.356233956654328	0.111829861724257	0	0	0	0	0	0	0.129015319515879	0.129015319515879	0.043005106505293	0.043005106505293	0.0817097023600568	0.0043005106505293
"C4"	0.0914489005664844	0.262192877453633	0.0699563637095953	0	0	0	0	0	0	0.170285567638739	0.170285567638739	0.0567618558795796	0.0567618558795796	0.107847526171201	0.00567618558795796
"C5"	0.0897059586072825	0.179885818061984	0.0286086633767456	0	0	0	0	0	0	0.207904878143849	0.207904878143849	0.0693016260479496	0.0693016260479496	0.131673089491104	0.00693016260479497
"C6"	0.0899896328237371	0.109122548016691	0.00843839405423358	0	0	0	0	0	0	0.237122786882214	0.237122786882214	0.079040928960738	0.079040928960738	0.150177765025402	0.0079040928960738
"C7"	0.0813424621977979	0.000740559474162244	0	0	0	0	0	0	0	0.275375093498412	0.275375093498412	0.091791697832804	0.091791697832804	0.174404225882328	0.0091791697832804
"C8"	0.0907967906350557	0	0	0	0	0	0	0	0.048883385407531	0.258095947187224	0.258095947187224	0.0860319823957413	0.0860319823957413	0.163460766551909	0.00860319823957413
