"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.234047071483959	0.535001376244172	0.756067618816672	0.866247092948858	0.949374776853354	0.971160366703796	0.826784807168767	0.113387670279802	0.0965688876808521	0.274849228643399	0.562928600629391	0.817254395917034	0.908088082464388	1	1	0.476579208405945	0.134746442607742	0.504617477438565	0.671861589895069	0.819478597267939	0.963685121194496	1	0.906319666101123
"A2"	0.234047071483959	0	0.387613384538698	0.610458113666401	0.721523985971021	0.851473245371708	0.873434101143329	0.727897034593277	0.345805480441091	0.316437527271745	0.266729398145751	0.415765284534789	0.672137140778174	0.809854397913937	0.902505750415729	0.902505750415728	0.356975693300055	0.138979988858606	0.35472294794019	0.525493994878936	0.717094217631977	0.865898716991962	0.902505750415728	0.808071754571965
"A3"	0.535001376244172	0.387613384538698	0	0.224555567557076	0.422559820766485	0.563502696387194	0.585463552158815	0.439926485608762	0.591281180906399	0.588132095270861	0.377605237459055	0.167560037799317	0.353445050935094	0.524413699820725	0.617065052322517	0.617065052322517	0.5263658328943	0.413098777476768	0.219055960900295	0.272287278569852	0.431653519538765	0.580458018898751	0.617065052322517	0.522631056478753
"A4"	0.756067618816672	0.610458113666401	0.224555567557076	0	0.198004253209409	0.338947128830118	0.360907984601738	0.22631988997186	0.809963005705853	0.795124665184123	0.489180375307575	0.194692829131611	0.212089698973225	0.383058347858856	0.475709700360647	0.475709700360647	0.7392669785681	0.63992812681414	0.265088911044884	0.195231077016842	0.290298167576896	0.439102666936881	0.475709700360647	0.381275704516884
"A5"	0.866247092948858	0.721523985971021	0.422559820766485	0.198004253209409	0	0.140942875620708	0.193093328841106	0.256156513853321	0.918954085385368	0.89828981711741	0.687184628516985	0.376964456343382	0.203685075621157	0.303009103784095	0.395660456285886	0.395660456285886	0.861631790540944	0.752979934891716	0.399090131949259	0.213597867174222	0.257393673557343	0.35905342286212	0.395660456285886	0.301226460442123
"A6"	0.949374776853354	0.851473245371708	0.563502696387194	0.338947128830118	0.140942875620708	0	0.130634330447432	0.312930568415782	0.949920819887472	0.952597714967178	0.828127504137693	0.51790733196409	0.282168952848192	0.282168952848192	0.333201457892213	0.333201457892213	0.921619244312155	0.841304781242976	0.542192604982998	0.354618445643997	0.282168952848192	0.296594424468447	0.333201457892213	0.282168952848192
"A7"	0.971160366703796	0.873434101143329	0.585463552158815	0.360907984601738	0.193093328841106	0.130634330447432	0	0.334891424187402	0.971471430633772	0.972996375467052	0.850088359909314	0.539868187735711	0.234548352115023	0.173495478172381	0.202567127444781	0.20256712744478	0.945814219163537	0.863658312533878	0.56448995599855	0.376591408597722	0.173495478172381	0.173495478172381	0.20256712744478	0.173495478172381
"A8"	0.826784807168767	0.727897034593277	0.439926485608762	0.22631988997186	0.256156513853321	0.312930568415782	0.334891424187402	0	0.861615367272069	0.844016040004528	0.704551293359262	0.394331121185659	0.349596126243984	0.384369102081692	0.475451405771765	0.392205163722705	0.797257334564099	0.715518941056529	0.421203347566462	0.347466769211348	0.364264109559909	0.440413421159718	0.477020454583484	0.38258645873972
"B1"	0.113387670279802	0.345805480441091	0.591281180906399	0.809963005705853	0.918954085385368	0.949920819887472	0.971471430633772	0.861615367272069	0	0.0525245044676563	0.333935031169512	0.618907182592933	0.870489822981069	0.934868644385626	1	1	0.564927289990939	0.223170056992886	0.562075924686139	0.726694870905184	0.872690034123563	0.964076813030582	1	0.934868644385626
"B2"	0.0965688876808521	0.316437527271745	0.588132095270861	0.795124665184123	0.89828981711741	0.952597714967178	0.972996375467052	0.844016040004528	0.0525245044676563	0	0.34454193435935	0.614281397302558	0.852416127188142	0.913939442788906	1	1	0.524075500513062	0.214662458099175	0.560465378781111	0.716302163983932	0.854498729887998	0.965997024228723	1	0.913353691170595
"B3"	0.274849228643399	0.266729398145751	0.377605237459055	0.489180375307575	0.687184628516985	0.828127504137693	0.850088359909314	0.704551293359262	0.333935031169512	0.34454193435935	0	0.310220172173603	0.615540007794291	0.786508656679922	0.879160009181713	0.879160009181713	0.650839973789545	0.17673906017002	0.298623884019799	0.473965611307585	0.693748476397962	0.842552975757947	0.879160009181713	0.78472601333795
"B4"	0.562928600629391	0.415765284534789	0.167560037799317	0.194692829131611	0.376964456343382	0.51790733196409	0.539868187735711	0.394331121185659	0.618907182592933	0.614281397302558	0.310220172173603	0	0.305319835620688	0.476288484506319	0.568939837008111	0.568939837008111	0.688966829684247	0.441754053209428	0.077648719969133	0.163574412460163	0.383528304224359	0.532332803584345	0.568939837008111	0.474505841164347
"B5"	0.817254395917034	0.672137140778174	0.353445050935094	0.212089698973225	0.203685075621157	0.282168952848192	0.234548352115023	0.349596126243984	0.870489822981069	0.852416127188142	0.615540007794291	0.305319835620688	0	0.170968648885631	0.263620001387422	0.263620001387422	0.807220728883948	0.702710018233739	0.327713015137684	0.14701370007285	0.0906343567819562	0.227012967963656	0.263620001387422	0.169186005543659
"B6"	0.908088082464388	0.809854397913937	0.524413699820725	0.383058347858856	0.303009103784095	0.282168952848192	0.173495478172381	0.384369102081692	0.934868644385626	0.913939442788906	0.786508656679922	0.476288484506319	0.170968648885631	0	0.0926513525017914	0.0926513525017914	0.879499142854762	0.798941759573266	0.499936052675605	0.312976653408009	0.09276018028196	0.0560443190780254	0.0926513525017914	0.00439923322946497
"B7"	1	0.902505750415729	0.617065052322517	0.475709700360647	0.395660456285886	0.333201457892213	0.202567127444781	0.475451405771765	1	1	0.879160009181713	0.568939837008111	0.263620001387422	0.0926513525017914	0	0.0832462420490596	0.977843381886006	0.893249783305636	0.594007055658454	0.405679085285239	0.185411532783751	0.036607033423766	0.00156904881171858	0.0970505857312563
"B8"	1	0.902505750415728	0.617065052322517	0.475709700360647	0.395660456285886	0.333201457892213	0.20256712744478	0.392205163722705	1	1	0.879160009181713	0.568939837008111	0.263620001387422	0.0926513525017914	0.0832462420490596	0	0.977843381886006	0.893249783305636	0.594007055658454	0.405679085285239	0.185411532783751	0.0848152908607782	0.0848152908607782	0.0970505857312563
"C1"	0.476579208405945	0.356975693300055	0.5263658328943	0.7392669785681	0.861631790540944	0.921619244312155	0.945814219163537	0.797257334564099	0.564927289990939	0.524075500513062	0.650839973789545	0.688966829684247	0.807220728883948	0.879499142854762	0.977843381886006	0.977843381886006	0	0.468610813532651	0.695002726063227	0.745091956486582	0.809690916568515	0.937512246237991	0.977843381886006	0.879499142854762
"C2"	0.134746442607742	0.138979988858606	0.413098777476768	0.63992812681414	0.752979934891716	0.841304781242976	0.863658312533878	0.715518941056529	0.223170056992886	0.214662458099175	0.17673906017002	0.441754053209428	0.702710018233739	0.798941759573266	0.893249783305636	0.893249783305636	0.468610813532651	0	0.380008653228049	0.553460475098738	0.70499220360655	0.855988190423509	0.893249783305636	0.797127241316797
"C3"	0.504617477438565	0.35472294794019	0.219055960900295	0.265088911044884	0.399090131949259	0.542192604982998	0.56448995599855	0.421203347566462	0.562075924686139	0.560465378781111	0.298623884019799	0.077648719969133	0.327713015137684	0.499936052675605	0.594007055658454	0.594007055658454	0.695002726063227	0.380008653228049	0	0.182440973643035	0.405754554398769	0.556839110912761	0.594007055658454	0.498126094778479
"C4"	0.671861589895069	0.525493994878936	0.272287278569852	0.195231077016842	0.213597867174222	0.354618445643997	0.376591408597722	0.347466769211348	0.726694870905184	0.716302163983932	0.473965611307585	0.163574412460163	0.14701370007285	0.312976653408009	0.405679085285239	0.405679085285239	0.745091956486582	0.553460475098738	0.182440973643035	0	0.22016533375305	0.369051870133377	0.405679085285239	0.311193027281586
"C5"	0.819478597267939	0.717094217631977	0.431653519538765	0.290298167576896	0.257393673557343	0.282168952848192	0.173495478172381	0.364264109559909	0.872690034123563	0.854498729887998	0.693748476397962	0.383528304224359	0.0906343567819562	0.09276018028196	0.185411532783751	0.185411532783751	0.809690916568515	0.70499220360655	0.405754554398769	0.22016533375305	0	0.148804499359985	0.185411532783751	0.0909775369399877
"C6"	0.963685121194496	0.865898716991962	0.580458018898751	0.439102666936881	0.35905342286212	0.296594424468447	0.173495478172381	0.440413421159718	0.964076813030582	0.965997024228723	0.842552975757947	0.532332803584345	0.227012967963656	0.0560443190780254	0.036607033423766	0.0848152908607782	0.937512246237991	0.855988190423509	0.556839110912761	0.369051870133377	0.148804499359985	0	0.036607033423766	0.0604435523074903
"C7"	1	0.902505750415728	0.617065052322517	0.475709700360647	0.395660456285886	0.333201457892213	0.20256712744478	0.477020454583484	1	1	0.879160009181713	0.568939837008111	0.263620001387422	0.0926513525017914	0.00156904881171858	0.0848152908607782	0.977843381886006	0.893249783305636	0.594007055658454	0.405679085285239	0.185411532783751	0.036607033423766	0	0.0970505857312563
"C8"	0.906319666101123	0.808071754571965	0.522631056478753	0.381275704516884	0.301226460442123	0.282168952848192	0.173495478172381	0.38258645873972	0.934868644385626	0.913353691170595	0.78472601333795	0.474505841164347	0.169186005543659	0.00439923322946497	0.0970505857312563	0.0970505857312563	0.879499142854762	0.797127241316797	0.498126094778479	0.311193027281586	0.0909775369399877	0.0604435523074903	0.0970505857312563	0
