"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	223.373502170692	335.060253256037	390.90362879871	448.448756090989	507.695643349438	626.189439848854	863.17707853024	167.097585859282	335.483639570629	437.513367366073	489.888756377291	544.028465762592	599.701163347212	711.653252785372	936.967151718778	543.617616068501	588.258659246273	639.259223004252	670.290545211221	704.187080264581	740.890666984003	821.98189007193	1005.85755422923
"A2"	223.373502170692	0	111.686751085346	167.530126628019	225.075255567752	284.322151546446	402.815969980779	639.803644106534	240.14240281966	215.338892312147	277.987248973761	319.168696014436	365.582266933176	415.83377402996	520.492300077532	738.06544798683	647.931233428363	612.818997131199	625.102614312242	638.507137628251	655.581411785159	676.414581185237	730.542439780804	876.714374874736
"A3"	335.060253256037	111.686751085346	0	55.843375542673	113.388507740227	172.635415706048	291.129253635258	528.116948385488	331.607523967717	225.174183039609	240.058708819322	265.008073584351	299.856459273433	342.019940763693	436.537474524238	644.654153536608	720.683050814989	654.001797308098	647.476278821085	651.393990460117	658.910123093852	670.27407032646	707.200863816089	827.338639295905
"A4"	390.90362879871	167.530126628019	55.843375542673	0	57.5451385686826	116.79205871976	235.285907830358	472.273610344681	381.400820513014	249.449689449039	239.080045173159	252.517401609385	278.210522949798	313.628831238456	399.683350356254	600.294603947095	760.607714757088	680.558162449683	665.445043576102	664.816487149816	667.611997727888	674.157325098526	701.932270442732	807.325978975036
"A5"	448.448756090989	225.075255567752	113.388507740227	57.5451385686826	0	59.2469259812036	177.740777943611	414.728481868425	434.268236937597	283.970644120519	251.434641351496	252.28578010837	266.556571370673	292.793197411112	366.795034356913	556.775929998974	803.76068252075	711.512971431692	688.259021422087	683.198635383753	681.304810247383	682.967515324769	701.168714641174	790.346849570631
"A6"	507.695643349438	284.322151546446	172.635415706048	116.79205871976	59.2469259812036	0	118.493851962407	355.481555887222	489.814322571319	326.394735933178	276.398425762521	265.454483334191	267.311431891717	282.240414094084	339.894086685838	514.88253537676	849.995911905463	746.712670622078	715.865370549519	706.569137232082	700.115360960527	696.939370990045	705.341475853757	776.978453006259
"A7"	626.189439848854	402.815969980779	291.129253635258	235.285907830358	177.740777943611	118.493851962407	0	236.987703924814	603.023712627916	423.536429270914	351.867448023005	324.288772402349	305.487451145797	297.631366917012	313.955355844674	443.141504132584	946.825153164453	825.408510860464	781.696817537052	765.023055675811	750.462028656717	738.475047621486	728.221016810754	763.447086237736
"A8"	863.17707853024	639.803644106534	528.116948385488	472.273610344681	414.728481868425	355.481555887222	236.987703924814	0	833.85934695247	639.786707572314	550.349599004124	508.726071664855	470.427149407855	436.667776163985	385.866134533727	378.364751661674	1152.68914682147	1006.47044774543	944.705268248251	917.357996360321	890.787005842711	865.350779698037	824.711531732695	790.827468731328
"B1"	167.097585859282	240.14240281966	331.607523967717	381.400820513014	434.268236937597	489.814322571319	603.023712627916	833.85934695247	0	220.770890577137	331.156335865706	386.34905850999	442.385051510559	499.276416466871	613.091829891738	840.791444414131	414.659808156035	425.588782423702	472.289502864504	503.346962547925	538.278778290787	576.811536867979	662.79916659037	857.385447158978
"B2"	335.483639570629	215.338892312147	225.174183039609	249.449689449039	283.970644120519	326.394735933178	423.536429270914	639.786707572314	220.770890577137	0	110.385445288569	165.578167932853	221.616584339309	278.520903518729	392.369340726594	620.123107675314	524.362485321832	431.197284615754	422.798621760079	429.543329022812	442.346177856212	461.240959176678	517.248063791446	678.067054997431
