Specimen.ID,Specimen,Sample,Sample.ID,Run.Time,All.Abs..Count,All.Count,E4.Abs..Count,Abs_count_minus_negative,Dilution,Starting_Volume_uL,Mid_Volume_uL,End_Volume_uL,number_cells_on_glass_slide,Random_#_Flow,New_Sample_ID,Random_#_Flow_Cytometry,mean_neg,number_cells_on_glass_slide_cleaned
23,T0__Death__61920,n1,3093,6/19/20 15:50,592,19464,0.394,0.344,1,2000,2000,2222,764.3679999999999,n1,NA,NA,2107.5670000000005,764.3679999999999
23,T0__Death__61920,n2,3094,6/19/20 15:52,635,12691,2.4,2.35,1,2000,2000,2222,5221.7,n2,NA,NA,2107.5670000000005,5221.7
23,T0__Death__61920,n3,3095,6/19/20 15:53,757,15090,0.25,0.2,1,2000,2000,2222,444.40000000000003,n3,NA,NA,2107.5670000000005,444.40000000000003
23,T0__Death__61920,n4,3096,6/19/20 15:55,1047,20877,0.75,0.7,1,2000,2000,2222,1555.3999999999999,n4,NA,NA,2107.5670000000005,1555.3999999999999
23,T0__Death__61920,g1 1:10,3135,6/19/20 16:14,257,5125,45.3,45.25,10,2000,1500,1667,1005756.6666666666,g1,NA,NA,2107.5670000000005,1005756.6666666666
23,T0__Death__61920,g2 1:10,3098,6/19/20 16:15,367,7333,40,39.95,10,2000,1500,1667,887955.3333333334,g2,NA,NA,2107.5670000000005,887955.3333333334
23,T0__Death__61920,g3 1:10,3099,6/19/20 16:18,276,5516,58.5,58.45,10,2000,1500,1667,1299148.6666666667,g3,NA,NA,2107.5670000000005,1299148.6666666667
23,T0__Death__61920,g4 1:10,3100,6/19/20 16:17,471,9402,70,69.95,10,2000,1500,1667,1554755.3333333333,g4,NA,NA,2107.5670000000005,1554755.3333333333
23,T0__Death__61920,s1,3143,6/19/20 16:21,2188,43455,55.5,55.45,1,2000,1500,1667,123246.86666666668,s1,NA,NA,2107.5670000000005,123246.86666666668
23,T0__Death__61920,s2 1:2,3102,6/19/20 16:25,1903,37829,46.2,46.15,2,2000,1500,1667,205152.13333333333,s2,NA,NA,2107.5670000000005,205152.13333333333
23,T0__Death__61920,s3 1:2,3141,6/19/20 16:26,906,18064,29,28.95,2,2000,1500,1667,128692.4,s3,NA,NA,2107.5670000000005,128692.4
23,T0__Death__61920,s4 1:2,3142,6/19/20 16:27,1431,28504,33.9,33.85,2,2000,1500,1667,150474.53333333335,s4,NA,NA,2107.5670000000005,150474.53333333335
23,T0__Death__61920,g5 1:10,3145,6/19/20 16:28,284,5683,39.9,39.85,10,2000,1500,1667,885732.6666666666,g5,NA,NA,2107.5670000000005,885732.6666666666
23,T0__Death__61920,g6 1:10,3146,6/19/20 16:29,237,4739,48.7,48.65,10,2000,1500,1667,1081327.3333333335,g6,NA,NA,2107.5670000000005,1081327.3333333335
23,T0__Death__61920,s5 1:2,3149,6/19/20 16:36,1327,26412,40.7,40.65,2,2000,1500,1667,180702.8,s5,NA,NA,2107.5670000000005,180702.8
23,T0__Death__61920,s6 1:2,3150,6/19/20 16:37,1285,25584,33.7,33.65,2,2000,1500,1667,149585.46666666667,s6,NA,NA,2107.5670000000005,149585.46666666667
24,T1______7_1_20,n4,3159,7/1/20 15:58,110,2192,0.25,0.15,1,2000,1500,1667,333.4,n4,NA,NA,1805.9166666666665,333.4
24,T1______7_1_20,n3,3158,7/1/20 15:59,148,2951,0.25,0.15,1,2000,1500,1667,333.4,n3,NA,NA,1805.9166666666665,333.4
24,T1______7_1_20,n2,3157,7/1/20 16:00,285,5686,1.15,1.05,1,2000,1500,1667,2333.8,n2,NA,NA,1805.9166666666665,2333.8
24,T1______7_1_20,n1,3156,7/1/20 16:01,477,18341,0.441,0.341,1,2000,1500,1667,757.9293333333334,n1,NA,NA,1805.9166666666665,757.9293333333334
24,T1______7_1_20,36 1:10(1),3193,7/1/20 16:05,1030,40287,4,3.9,10,2000,1500,1667,86684,36,LOT1B4,36,1805.9166666666665,86684
