Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count,Abs_count_minus_negative
23,T0__Death__61920,unstained_GTA,3092,6/19/20 15:49,2.75,55,0.05,0
23,T0__Death__61920,n1,3093,6/19/20 15:50,592,19464,0.394,0.344
23,T0__Death__61920,n2,3094,6/19/20 15:52,635,12691,2.4,2.35
23,T0__Death__61920,n3,3095,6/19/20 15:53,757,15090,0.25,0.2
23,T0__Death__61920,n4,3096,6/19/20 15:55,1047,20877,0.75,0.7
23,T0__Death__61920,g1_unstained?,3097,6/19/20 15:57,4770,76453,484,483.95
23,T0__Death__61920,unstained_GTA(1),3104,6/19/20 15:58,313,6141,15.2,15.15
23,T0__Death__61920,unstained_GTA(2),3131,6/19/20 15:59,33.6,671,0.9,0.85
23,T0__Death__61920,g1 1:100(1),3130,6/19/20 16:00,41.8,823,3.1,3.05
23,T0__Death__61920,s1 1:100,3101,6/19/20 16:04,45.7,913,0.25,0.2
23,T0__Death__61920,g2 1:100,3136,6/19/20 16:11,50.6,1012,0.45,0.4
23,T0__Death__61920,g3 1:100,3137,6/19/20 16:12,45.7,913,7.5,7.45
23,T0__Death__61920,g4 1:100,3138,6/19/20 16:13,67.1,1342,8.95,8.9
23,T0__Death__61920,s2 1:100,3132,,0,0,0,0
23,T0__Death__61920,s3 1:100,3103,,0,0,0,0
23,T0__Death__61920,s4 1:100,3133,,0,0,0,0
23,T0__Death__61920,g1 1:10,3135,6/19/20 16:14,257,5125,45.3,45.25
23,T0__Death__61920,g2 1:10,3098,6/19/20 16:15,367,7333,40,39.95
23,T0__Death__61920,g3 1:10,3099,6/19/20 16:18,276,5516,58.5,58.45
23,T0__Death__61920,g4 1:10,3100,6/19/20 16:17,471,9402,70,69.95
23,T0__Death__61920,g1,3134,,0,0,0,0
23,T0__Death__61920,g2,3139,,0,0,0,0
23,T0__Death__61920,s1 1:10,3140,6/19/20 16:19,217,4332,6.25,6.2
23,T0__Death__61920,s1,3143,6/19/20 16:21,2188,43455,55.5,55.45
23,T0__Death__61920,s2,3144,6/19/20 16:22,3415,67616,61.7,61.65
23,T0__Death__61920,s2 1:2,3102,6/19/20 16:25,1903,37829,46.2,46.15
23,T0__Death__61920,s3 1:2,3141,6/19/20 16:26,906,18064,29,28.95
23,T0__Death__61920,s4 1:2,3142,6/19/20 16:27,1431,28504,33.9,33.85
23,T0__Death__61920,g5 1:10,3145,6/19/20 16:28,284,5683,39.9,39.85
23,T0__Death__61920,g6 1:10,3146,6/19/20 16:29,237,4739,48.7,48.65
23,T0__Death__61920,s5,3147,6/19/20 16:34,2600,51554,70.3,70.25
23,T0__Death__61920,s6,3148,,0,0,0,-0.05
23,T0__Death__61920,s5 1:2,3149,6/19/20 16:36,1327,26412,40.7,40.65
23,T0__Death__61920,s6 1:2,3150,6/19/20 16:37,1285,25584,33.7,33.65
23,T0__Death__61920,1%buffered GTA stained,3151,6/24/20 15:57,7.7,154,0.25,0.2
23,T0__Death__61920,DG fixed and stained 1:100,3152,6/24/20 16:08,1519,30240,710,709.95
23,T0__Death__61920,DS fixed and stained 1:20,3153,6/24/20 16:13,1456,28971,160,159.95
23,T0__Death__61920,GTA,3154,6/24/20 16:03,336,6702,95.5,95.45
24,T1______7_1_20,unstained_GTA,3155,7/1/20 15:56,2.75,53,0.1,0
24,T1______7_1_20,n4,3159,7/1/20 15:58,110,2192,0.25,0.15
24,T1______7_1_20,n3,3158,7/1/20 15:59,148,2951,0.25,0.15
24,T1______7_1_20,n2,3157,7/1/20 16:00,285,5686,1.15,1.05
24,T1______7_1_20,n1,3156,7/1/20 16:01,477,18341,0.441,0.341
24,T1______7_1_20,36 1:10,3164,7/1/20 16:03,988,19705,3.6,3.5
24,T1______7_1_20,36 1:10(1),3193,7/1/20 16:05,1030,40287,4,3.9
24,T1______7_1_20,36,3163,7/1/20 16:07,10348,199341,37.7,37.6
24,T1______7_1_20,unstained_GTA(1),3192,7/1/20 16:08,226,4512,0.6,0.5
24,T1______7_1_20,35 1:10,3166,7/1/20 16:09,287,5721,4.5,4.4
24,T1______7_1_20,35,3165,7/1/20 16:10,1522,30313,35.1,35
24,T1______7_1_20,34 1:10,3168,7/1/20 16:12,596,11908,1.75,1.65
24,T1______7_1_20,34 1:10(2),3218,7/1/20 16:13,635,40014,5.08,4.98
24,T1______7_1_20,34,3167,,0,0,0,0
24,T1______7_1_20,33 1:10,3170,7/1/20 16:16,229,1527,0.15,0.05
24,T1______7_1_20,33,3169,7/1/20 16:17,2003,39794,29.4,29.3
24,T1______7_1_20,32 1:10,3172,7/1/20 16:18,420,8394,8.05,7.95
24,T1______7_1_20,32,3171,7/1/20 16:19,4305,84937,63.4,63.3
24,T1______7_1_20,32 1:2,3219,7/1/20 16:21,2010,39920,36.1,36
24,T1______7_1_20,31 1:10,3173,7/1/20 16:22,487,9730,7.55,7.45
24,T1______7_1_20,31 1:2,3220,7/1/20 16:23,1528,30415,47.2,47.1
24,T1______7_1_20,31,3174,,0,0,0,0
24,T1______7_1_20,30 1:10,3175,7/1/20 16:24,546,10901,4.2,4.1
24,T1______7_1_20,30 1:2,3221,7/1/20 16:26,2455,48695,40.4,40.3
24,T1______7_1_20,30,3176,,0,0,0,0
24,T1______7_1_20,29 1:10,3177,7/1/20 16:27,631,12603,9.55,9.45
24,T1______7_1_20,29 1:5,3222,7/1/20 16:29,1156,23024,12.3,12.2
24,T1______7_1_20,29 1:5(1),3223,7/1/20 16:30,1138,44584,12.8,12.7
24,T1______7_1_20,29,3178,,0,0,0,0
24,T1______7_1_20,28 1:10,3179,7/1/20 16:32,344,6879,26,25.9
24,T1______7_1_20,28,3180,,0,0,0,0
24,T1______7_1_20,27 1:10,3181,7/1/20 16:33,965,19238,28.1,28
24,T1______7_1_20,27,3182,,0,0,0,0
24,T1______7_1_20,26 1:10,3183,7/1/20 16:35,207,4141,4.95,4.85
24,T1______7_1_20,26,3184,7/1/20 16:36,1297,25831,38.4,38.3
24,T1______7_1_20,25 1:10,3185,7/1/20 16:37,295,5894,1.7,1.6
24,T1______7_1_20,25 1:2,3224,7/1/20 16:39,1338,26635,20.9,20.8
24,T1______7_1_20,25,3186,,0,0,0,0
24,T1______7_1_20,24 1:10,3187,7/1/20 16:40,1395,27766,12.4,12.3
24,T1______7_1_20,24 1:20,3249,7/1/20 16:41,682,26771,8.44,8.34
24,T1______7_1_20,24,3188,,0,0,0,0
24,T1______7_1_20,23 1:10,3194,7/1/20 16:43,319,6371,37.9,37.8
24,T1______7_1_20,23,3195,,0,0,0,0
24,T1______7_1_20,22 1:10,3196,7/1/20 16:44,990,19726,26.5,26.4
24,T1______7_1_20,22,3197,,0,0,0,0
24,T1______7_1_20,21 1:10,3198,7/1/20 16:46,557,11123,0.7,0.6
24,T1______7_1_20,21 1:5,3250,7/1/20 16:48,1230,24511,7.05,6.95
24,T1______7_1_20,21 1:5(1),3251,7/1/20 16:49,1402,83789,6.8,6.7
24,T1______7_1_20,21,3199,,0,0,0,0
24,T1______7_1_20,20 1:10,3200,7/1/20 16:51,3164,62676,43.1,43
24,T1______7_1_20,20 1:20,3252,7/1/20 16:53,1564,31135,24.7,24.6
